symbol,direction,exit_type,exit_price,qty,pnl,timestamp,reason
DOGEUSDT,short,SL,0.2115,310.0,-0.05270000000000108,2025-09-02 23:35,
HBARUSDT,short,SL,0.21392,304.0,-0.06687999999999938,2025-09-02 23:37,
HBARUSDT,short,SL,0.2141,302.0,-0.05436000000000407,2025-09-02 23:37,
HBARUSDT,short,SL,0.214,300.0,-0.06599999999999939,2025-09-02 23:40,
BNBUSDT,short,SL,849.37,0.1,-0.008000000000004092,2025-09-03 00:20,
DOGEUSDT,long,SL,0.21192,300.0,-0.0030000000000030003,2025-09-03 00:26,
BNBUSDT,long,SL,849.67,0.1,-0.08899999999999864,2025-09-03 00:33,
DOGEUSDT,short,SL,0.21111,298.0,-0.0655599999999994,2025-09-03 00:46,
DOGEUSDT,short,SL,0.2108,296.0,-0.0651199999999994,2025-09-03 00:53,
HBARUSDT,short,SL,0.21327,289.0,0.0,2025-09-03 01:05,
XRPUSDT,long,TRAILING,2.8186,22.0,0.08579999999999544,2025-09-03 01:30,
BNBUSDT,long,SL,850.45,0.1,-0.11399999999999864,2025-09-03 01:43,
BNBUSDT,long,SL,852.5,0.1,-0.08600000000000137,2025-09-03 04:31,
BNBUSDT,long,SL,852.3,0.1,-0.08900000000001002,2025-09-03 04:46,
HBARUSDT,long,SL,0.2204,274.0,-0.00821999999999301,2025-09-03 05:30,
HBARUSDT,long,TRAILING,0.22048,268.0,0.08040000000000602,2025-09-03 07:35,
ADAUSDT,long,SL,0.8343,70.0,-0.05599999999999383,2025-09-03 10:14,
HBARUSDT,long,TRAILING,0.2192,262.0,0.07598000000000327,2025-09-03 12:04,
HBARUSDT,short,SL,0.2186,262.0,-0.0681199999999954,2025-09-03 12:15,
XRPUSDT,short,SL,2.8178,20.2,-0.05857999999999803,2025-09-03 12:29,
BNBUSDT,long,SL,851.59,0.1,-0.09099999999999682,2025-09-03 12:55,
HBARUSDT,long,SL,0.21848,231.0,-0.05081999999999953,2025-09-03 13:17,
BNBUSDT,long,SL,853.01,0.1,-0.09099999999999682,2025-09-03 14:52,
BNBUSDT,long,SL,853.01,0.1,-0.09099999999999682,2025-09-03 15:02,
