timestamp,tag,equity_usdt,drawdown_pct
2025-07-18T00:18:41.301753,ENTRY,0.0342,0.0
2025-07-18T00:58:16.589363,TP1_EXIT,2.223,0.0
2025-07-18T01:00:07.722216,TRAILING_EXIT,2.3256,0.0
2025-07-18T01:03:46.779242,ENTRY,0.0232,-99.0
2025-07-18T01:03:48.435742,ENTRY,0.1194,-94.87
2025-07-18T04:21:38.316812,SL_EXIT,-3.3431,-243.75
2025-07-18T05:51:38.157443,TP1_EXIT,2.4402,0.0
2025-07-18T05:51:56.333432,TRAILING_EXIT,2.4817,0.0
2025-07-18T06:06:44.556789,ENTRY,-0.0208,-100.84
2025-07-18T06:33:45.850513,ENTRY,-0.1302,-105.25
2025-07-18T07:18:56.282807,SL_EXIT,-3.0995,-224.9
2025-07-18T07:26:11.725311,SL_EXIT,-2.0163,-181.25
2025-07-18T08:03:37.395553,ENTRY,0.0166,-99.33
2025-07-18T08:42:23.280944,TP1_EXIT,2.1776,-12.25
2025-07-18T08:43:16.767958,TRAILING_EXIT,2.4964,0.0
2025-07-18T09:08:08.339812,ENTRY,0.0254,-98.98
2025-07-18T10:36:44.053294,SL_EXIT,-2.0649,-182.71
2025-07-18T10:42:36.973405,ENTRY,0.0,-100.0
2025-07-18T13:20:00.202656,TP1_EXIT,2.1645,-13.3
2025-07-18T13:28:20.565415,ENTRY,2.725,0.0
2025-07-18T13:33:18.106155,TRAILING_EXIT,2.299,-15.63
2025-07-18T13:44:08.622332,ENTRY,-0.7714,-128.31
2025-07-18T13:51:29.012033,SL_EXIT,-1.2228,-144.87
2025-08-02T15:34:38.251102,SL_EXIT,-0.035,0
2025-08-02T15:34:40.639270,SL_EXIT,0.0273,0.0
2025-08-02T15:34:57.614772,SL_EXIT,-0.056,-305.13
2025-08-02T15:35:00.852712,SL_EXIT,0.0154,-43.59
2025-08-02T15:35:16.029202,SL_EXIT,-0.042,-253.85
2025-08-02T15:35:19.198782,SL_EXIT,0.0266,-2.56
2025-08-02T15:35:50.038994,SL_EXIT,-0.021,-176.92
2025-08-02T15:35:52.539000,SL_EXIT,0.0273,0.0
2025-08-02T15:36:08.139066,SL_EXIT,-0.049,-279.49
2025-08-02T15:36:28.063772,SL_EXIT,-0.021,-176.92
2025-08-02T15:36:47.965424,SL_EXIT,-0.028,-202.56
2025-08-02T15:36:51.127910,SL_EXIT,0.021,-23.08
2025-08-02T15:37:08.516146,SL_EXIT,-0.028,-202.56
2025-08-02T15:37:11.706906,SL_EXIT,0.0259,-5.13
2025-08-02T15:37:26.877776,SL_EXIT,-0.028,-202.56
2025-08-02T15:37:30.032321,SL_EXIT,0.0203,-25.64
2025-08-02T17:23:53.872067,SL_EXIT,-0.3528,0
