timestamp,symbol,direction,event_type,price,qty,entry_price,pnl,sl,tp,reason,source
2025-07-18T00:18:41.056961-07:00,ADAUSDT,short,ENTRY,0.8746,114.0,0.8746,,0.892,0.8553,,5M_SCALPER
2025-07-18T00:58:16.419158-07:00,ADAUSDT,short,TP1_EXIT,0.8553,57.0,0.8746,1.1001000000000054,0.8746,0.8553,TP1 partial hit,5M_SCALPER
2025-07-18T01:00:07.547935-07:00,ADAUSDT,short,TRAILING_EXIT,0.854,114.0,0.8746,2.348400000000007,0.8553,0.8553,TRAILING,5M_SCALPER
2025-07-18T01:03:46.612298-07:00,ADAUSDT,long,ENTRY,0.8585,116.0,0.8585,,0.8413,0.8773,,5M_SCALPER
2025-07-18T01:03:48.107085-07:00,DOGEUSDT,long,ENTRY,0.24061,415.0,0.24061,,0.23579,0.2459,,5M_SCALPER
2025-07-18T04:21:37.967912-07:00,ADAUSDT,long,SL_EXIT,0.8413,116.0,0.8585,-1.9951999999999992,0.8413,0.8773,SL,5M_SCALPER
2025-07-18T05:51:37.977925-07:00,DOGEUSDT,long,TP1_EXIT,0.24629,207.0,0.24061,1.175760000000004,0.24061,0.2459,TP1 partial hit,5M_SCALPER
2025-07-18T05:51:56.153970-07:00,DOGEUSDT,long,TRAILING_EXIT,0.24659,415.0,0.24061,2.4817000000000053,0.2459,0.2459,TRAILING,5M_SCALPER
2025-07-18T06:06:44.323037-07:00,BNBUSDT,long,ENTRY,759.96,0.13,759.96,,744.76,776.67,,5M_SCALPER
2025-07-18T06:33:45.525101-07:00,DOGEUSDT,long,ENTRY,0.25056,399.0,0.25056,,0.24554,0.25607,,5M_SCALPER
2025-07-18T07:18:55.945063-07:00,DOGEUSDT,long,SL_EXIT,0.24533,399.0,0.25056,-2.086770000000005,0.24554,0.25607,SL,5M_SCALPER
2025-07-18T07:26:11.552737-07:00,BNBUSDT,long,SL_EXIT,744.55,0.13,759.96,-2.0033000000000105,744.76,776.67,SL,5M_SCALPER
2025-07-18T08:03:37.143681-07:00,DOGEUSDT,short,ENTRY,0.241,414.0,0.241,,0.24581,0.23569,,5M_SCALPER
2025-07-18T08:42:23.118413-07:00,DOGEUSDT,short,TP1_EXIT,0.23562,207.0,0.241,1.1136599999999992,0.241,0.23569,TP1 partial hit,5M_SCALPER
2025-07-18T08:43:16.602828-07:00,DOGEUSDT,short,TRAILING_EXIT,0.23499,414.0,0.241,2.4881399999999947,0.23569,0.23569,TRAILING,5M_SCALPER
