side,entry_time,entry_price,sltp,partial_taken,exit_time,exit_price,result,pnl_pct,equity_curve
LONG,2025-06-06 16:20:00,648.35,"TradeExit(trailing_stop=646.4386300630612, sl=645.51, tp=652.326, sl_pct=0.004380350119534251, tp_pct=0.0061324901673479515, partial_tp=651.19, partial_size=0.5)",False,2025-06-06 17:20:00,645.51,LOSS,,
LONG,2025-06-06 17:55:00,646.71,"TradeExit(trailing_stop=645.057993908688, sl=644.71, tp=649.51, sl_pct=0.0030925762706622752, tp_pct=0.004329606778927185, partial_tp=648.71, partial_size=0.5)",False,2025-06-06 18:25:00,644.71,LOSS,,
LONG,2025-06-06 19:40:00,645.4,"TradeExit(trailing_stop=644.0277442802253, sl=645.4, tp=647.6119999999999, sl_pct=0.002448094205143984, tp_pct=0.003427331887201577, partial_tp=646.9799999999999, partial_size=0.5)",False,2025-06-07 08:00:00,648.8,PARTIAL_50,0.2634025410598061,1.65918143455298
LONG,2025-06-06 19:40:00,645.4,"TradeExit(trailing_stop=644.0277442802253, sl=645.4, tp=647.6119999999999, sl_pct=0.002448094205143984, tp_pct=0.003427331887201577, partial_tp=646.9799999999999, partial_size=0.5)",True,2025-06-07 08:00:00,647.6119999999999,WIN,,
LONG,2025-06-07 10:10:00,647.01,"TradeExit(trailing_stop=646.1322790907069, sl=647.01, tp=648.41, sl_pct=0.0015455711658243303, tp_pct=0.0021637996321540623, partial_tp=648.01, partial_size=0.5)",False,2025-06-07 11:20:00,648.3,PARTIAL_50,0.0996893401956665,1.7588707747486465
LONG,2025-06-07 10:10:00,647.01,"TradeExit(trailing_stop=646.1322790907069, sl=647.01, tp=648.41, sl_pct=0.0015455711658243303, tp_pct=0.0021637996321540623, partial_tp=648.01, partial_size=0.5)",True,2025-06-07 11:30:00,648.41,WIN,,
LONG,2025-06-07 12:10:00,648.5,"TradeExit(trailing_stop=647.6315739699602, sl=648.5, tp=649.9980000000002, sl_pct=0.0016499614494989206, tp_pct=0.0023099460292984888, partial_tp=649.57, partial_size=0.5)",False,2025-06-07 12:40:00,649.58,PARTIAL_50,0.08326908249807563,1.842139857246722
LONG,2025-06-07 12:10:00,648.5,"TradeExit(trailing_stop=647.6315739699602, sl=648.5, tp=649.9980000000002, sl_pct=0.0016499614494989206, tp_pct=0.0023099460292984888, partial_tp=649.57, partial_size=0.5)",True,2025-06-07 13:40:00,649.9980000000002,WIN,,
LONG,2025-06-07 15:55:00,650.4,"TradeExit(trailing_stop=649.1445316464926, sl=650.4, tp=653.34, sl_pct=0.0032287822878229134, tp_pct=0.0045202952029520784, partial_tp=652.5, partial_size=0.5)",False,2025-06-07 21:00:00,652.72,PARTIAL_50,0.17835178351783904,2.0204916407645612
LONG,2025-06-07 15:55:00,650.4,"TradeExit(trailing_stop=649.1445316464926, sl=650.4, tp=653.34, sl_pct=0.0032287822878229134, tp_pct=0.0045202952029520784, partial_tp=652.5, partial_size=0.5)",True,2025-06-08 08:00:00,650.4,LOSS,,
