side,entry_time,entry_price,sltp,partial_taken,exit_time,exit_price,result,pnl_pct,equity_curve
LONG,2025-07-09 15:00:00,109118.0,"TradeExit(trailing_stop=108655.07911953023, sl=109118.0, tp=110082.6, sl_pct=0.006314265290786121, tp_pct=0.008839971407100569)",False,2025-07-09 19:15:00,109929.4,PARTIAL_50,0.3717993364981003,1.6745938612484363
LONG,2025-07-09 15:00:00,109118.0,"TradeExit(trailing_stop=108655.07911953023, sl=109118.0, tp=110082.6, sl_pct=0.006314265290786121, tp_pct=0.008839971407100569)",True,2025-07-09 19:20:00,110082.6,WIN,,
LONG,2025-07-09 21:20:00,111176.3,"TradeExit(trailing_stop=110702.1716417458, sl=111176.3, tp=112111.92000000001, sl_pct=0.006011173244657385, tp_pct=0.008415642542520339)",False,2025-07-10 16:20:00,112260.4,PARTIAL_50,0.4875589491645212,2.1621528104129575
LONG,2025-07-09 21:20:00,111176.3,"TradeExit(trailing_stop=110702.1716417458, sl=111176.3, tp=112111.92000000001, sl_pct=0.006011173244657385, tp_pct=0.008415642542520339)",True,2025-07-10 16:20:00,112111.92000000001,WIN,,
LONG,2025-07-10 19:00:00,113519.9,"TradeExit(trailing_stop=113123.49735924933, sl=113519.9, tp=114313.28, sl_pct=0.0049920762791369365, tp_pct=0.00698890679079171)",False,2025-07-10 21:15:00,116449.7,PARTIAL_50,1.2904345405519222,3.4525873509648797
LONG,2025-07-10 19:00:00,113519.9,"TradeExit(trailing_stop=113123.49735924933, sl=113519.9, tp=114313.28, sl_pct=0.0049920762791369365, tp_pct=0.00698890679079171)",True,2025-07-10 21:15:00,114313.28,WIN,,
LONG,2025-07-11 08:25:00,117944.3,"TradeExit(trailing_stop=117608.00080075035, sl=117944.3, tp=118567.72, sl_pct=0.003775510982726617, tp_pct=0.0052857153758172635)",False,2025-07-11 09:30:00,118405.1,PARTIAL_50,0.19534644743323878,3.6479337983981184
LONG,2025-07-11 08:25:00,117944.3,"TradeExit(trailing_stop=117608.00080075035, sl=117944.3, tp=118567.72, sl_pct=0.003775510982726617, tp_pct=0.0052857153758172635)",True,2025-07-11 09:35:00,118567.72,WIN,,
LONG,2025-07-11 12:05:00,118000.0,"TradeExit(trailing_stop=117702.30280193055, sl=117581.3, tp=118586.18, sl_pct=0.003548305084745738, tp_pct=0.004967627118644033)",False,2025-07-11 13:30:00,117581.3,LOSS,,
LONG,2025-07-11 13:55:00,117967.1,"TradeExit(trailing_stop=117425.31500814529, sl=117255.0, tp=118964.04000000002, sl_pct=0.00603642880091149, tp_pct=0.008451000321276086)",False,2025-07-11 15:45:00,117255.0,LOSS,,
LONG,2025-07-11 16:30:00,117347.0,"TradeExit(trailing_stop=116747.01850918835, sl=117347.0, tp=118377.25999999998, sl_pct=0.0062711445541854, tp_pct=0.00877960237585956)",False,2025-07-12 09:50:00,118132.4,PARTIAL_50,0.33464852105294307,3.9825823194510614
LONG,2025-07-11 16:30:00,117347.0,"TradeExit(trailing_stop=116747.01850918835, sl=117347.0, tp=118377.25999999998, sl_pct=0.0062711445541854, tp_pct=0.00877960237585956)",True,2025-07-12 12:45:00,117347.0,LOSS,,
SHORT,2025-07-12 14:50:00,117278.0,"TradeExit(trailing_stop=117528.63280868926, sl=117718.1, tp=116661.86, sl_pct=0.003752621975136051, tp_pct=0.005253670765190471)",False,2025-07-13 08:00:00,117718.1,LOSS,,
LONG,2025-07-13 08:55:00,117855.5,"TradeExit(trailing_stop=117759.41839034596, sl=117710.0, tp=118059.2, sl_pct=0.0012345626636007653, tp_pct=0.0017283877290410713)",False,2025-07-13 09:35:00,117710.0,LOSS,,
LONG,2025-07-13 10:00:00,117786.9,"TradeExit(trailing_stop=117683.30380175835, sl=117786.9, tp=117990.73999999998, sl_pct=0.0012361306732751375, tp_pct=0.0017305829425851922)",False,2025-07-13 11:20:00,117967.9,PARTIAL_50,0.07683367165618588,4.059415991107247
LONG,2025-07-13 10:00:00,117786.9,"TradeExit(trailing_stop=117683.30380175835, sl=117786.9, tp=117990.73999999998, sl_pct=0.0012361306732751375, tp_pct=0.0017305829425851922)",True,2025-07-13 11:25:00,117990.73999999998,WIN,,
LONG,2025-07-13 13:30:00,118486.5,"TradeExit(trailing_stop=118187.00125110503, sl=118486.5, tp=119122.8, sl_pct=0.0038358800369662368, tp_pct=0.005370232051752731)",False,2025-07-13 14:15:00,119230.5,PARTIAL_50,0.31395981820713753,4.373375809314385
LONG,2025-07-13 13:30:00,118486.5,"TradeExit(trailing_stop=118187.00125110503, sl=118486.5, tp=119122.8, sl_pct=0.0038358800369662368, tp_pct=0.005370232051752731)",True,2025-07-13 14:15:00,119122.8,WIN,,
LONG,2025-07-13 17:35:00,118703.2,"TradeExit(trailing_stop=118451.9111809789, sl=118703.2, tp=119232.12, sl_pct=0.003182728014072097, tp_pct=0.004455819219700935)",False,2025-07-13 19:20:00,119140.3,PARTIAL_50,0.18411466582198535,4.55749047513637
LONG,2025-07-13 17:35:00,118703.2,"TradeExit(trailing_stop=118451.9111809789, sl=118703.2, tp=119232.12, sl_pct=0.003182728014072097, tp_pct=0.004455819219700935)",True,2025-07-13 20:30:00,119232.12,WIN,,
LONG,2025-07-13 21:45:00,118810.4,"TradeExit(trailing_stop=118499.55523992871, sl=118810.4, tp=119368.43999999997, sl_pct=0.003354925158066897, tp_pct=0.004696895221293656)",False,2025-07-14 08:00:00,122500.0,PARTIAL_50,1.552726023984435,6.110216499120805
LONG,2025-07-13 21:45:00,118810.4,"TradeExit(trailing_stop=118499.55523992871, sl=118810.4, tp=119368.43999999997, sl_pct=0.003354925158066897, tp_pct=0.004696895221293656)",True,2025-07-14 08:00:00,119368.43999999997,WIN,,
LONG,2025-07-14 10:35:00,122117.7,"TradeExit(trailing_stop=121775.46763548566, sl=121620.7, tp=122813.5, sl_pct=0.004069844093034835, tp_pct=0.005697781730248768)",False,2025-07-14 11:20:00,121620.7,LOSS,,
LONG,2025-07-14 12:05:00,121745.2,"TradeExit(trailing_stop=121379.18244614222, sl=121357.0, tp=122288.68, sl_pct=0.0031886267384668727, tp_pct=0.004464077433853622)",False,2025-07-14 13:30:00,121357.0,LOSS,,
LONG,2025-07-14 13:40:00,121790.5,"TradeExit(trailing_stop=121331.92865894064, sl=121150.0, tp=122687.2, sl_pct=0.0052590308767925245, tp_pct=0.007362643227509534)",False,2025-07-14 14:30:00,121150.0,LOSS,,
SHORT,2025-07-14 17:35:00,119878.8,"TradeExit(trailing_stop=120348.74025407454, sl=119878.8, tp=118993.86000000002, sl_pct=0.0052728255538092746, tp_pct=0.0073819557753329835)",False,2025-07-15 08:00:00,116666.2,PARTIAL_50,1.3399366693693988,7.450153168490203
SHORT,2025-07-14 17:35:00,119878.8,"TradeExit(trailing_stop=120348.74025407454, sl=119878.8, tp=118993.86000000002, sl_pct=0.0052728255538092746, tp_pct=0.0073819557753329835)",True,2025-07-15 08:00:00,118993.86000000002,WIN,,
SHORT,2025-07-15 09:55:00,116764.9,"TradeExit(trailing_stop=117072.06003735069, sl=117229.9, tp=116113.9, sl_pct=0.0039823611376363964, tp_pct=0.0055753055926909545)",False,2025-07-15 12:30:00,117229.9,LOSS,,
SHORT,2025-07-15 12:35:00,116916.8,"TradeExit(trailing_stop=117397.47420495498, sl=117458.59999999999, tp=116158.28, sl_pct=0.00463406456557144, tp_pct=0.006487690391800015)",False,2025-07-15 13:05:00,117458.59999999999,LOSS,,
SHORT,2025-07-15 14:25:00,117541.8,"TradeExit(trailing_stop=118255.48222709938, sl=117541.8, tp=116200.6, sl_pct=0.008150292066311729, tp_pct=0.01141040889283642)",False,2025-07-15 14:50:00,116064.9,PARTIAL_50,0.628244590435066,8.07839775892527
SHORT,2025-07-15 14:25:00,117541.8,"TradeExit(trailing_stop=118255.48222709938, sl=117541.8, tp=116200.6, sl_pct=0.008150292066311729, tp_pct=0.01141040889283642)",True,2025-07-15 14:50:00,116200.6,WIN,,
SHORT,2025-07-15 18:25:00,116846.6,"TradeExit(trailing_stop=117264.98014089133, sl=117577.09999999999, tp=115823.90000000001, sl_pct=0.006251786530374012, tp_pct=0.008752501142523616)",False,2025-07-16 08:00:00,117577.09999999999,LOSS,,
LONG,2025-07-16 09:55:00,119188.9,"TradeExit(trailing_stop=118848.12368833653, sl=118725.8, tp=119837.23999999998, sl_pct=0.0038854289283649004, tp_pct=0.0054396004997108605)",False,2025-07-16 10:55:00,118725.8,LOSS,,
LONG,2025-07-16 12:35:00,118969.3,"TradeExit(trailing_stop=118703.4994492738, sl=118557.0, tp=119546.51999999999, sl_pct=0.003465599948894403, tp_pct=0.004851839928452163)",False,2025-07-16 13:00:00,118557.0,LOSS,,
LONG,2025-07-16 13:25:00,118782.9,"TradeExit(trailing_stop=118491.87108298516, sl=118384.6, tp=119340.51999999999, sl_pct=0.003353176256851688, tp_pct=0.0046944467595923635)",False,2025-07-16 13:45:00,118384.6,LOSS,,
LONG,2025-07-16 14:00:00,118739.4,"TradeExit(trailing_stop=118282.56197484145, sl=118739.4, tp=119556.15999999999, sl_pct=0.004913280680212248, tp_pct=0.006878592952297148)",False,2025-07-16 15:05:00,119618.3,PARTIAL_50,0.37009619384972836,8.448493952774998
LONG,2025-07-16 14:00:00,118739.4,"TradeExit(trailing_stop=118282.56197484145, sl=118739.4, tp=119556.15999999999, sl_pct=0.004913280680212248, tp_pct=0.006878592952297148)",True,2025-07-16 15:05:00,119556.15999999999,WIN,,
LONG,2025-07-16 17:20:00,119476.7,"TradeExit(trailing_stop=119018.2707766642, sl=118931.4, tp=120240.12000000001, sl_pct=0.004564069814449201, tp_pct=0.006389697740228881)",False,2025-07-16 19:30:00,118931.4,LOSS,,
LONG,2025-07-16 20:20:00,119391.5,"TradeExit(trailing_stop=118940.2520395976, sl=119391.5, tp=120172.14000000001, sl_pct=0.004670349229216534, tp_pct=0.0065384889209031466)",False,2025-07-16 21:05:00,119954.1,PARTIAL_50,0.23561141287277815,8.684105365647776
LONG,2025-07-16 20:20:00,119391.5,"TradeExit(trailing_stop=118940.2520395976, sl=119391.5, tp=120172.14000000001, sl_pct=0.004670349229216534, tp_pct=0.0065384889209031466)",True,2025-07-16 21:55:00,119391.5,LOSS,,
