candle_range,atr_5,volume,alt_btc_ratio,volume_ma_5,ema_divergence,lower_wick,body_size,upper_wick,rsi_7_prev,ema_14_slope,rsi_7,ema_14,ema_7,low,timestamp,binary_label
0.0370000099999999,0.0383999999999997,111917.62,5.833102204964638e-05,116946.348,-0.0183877331231339,0.0060000000000002,0.0189999999999996,0.012,70.74826563007754,-0.003942643102397,51.937956312737015,3.39062718016558,3.3722394470424457,3.359,2024-09-02 06:00:00+00:00,0
0.06000001,0.0431999999999998,223333.29,5.791687946008193e-05,136508.638,-0.0205139708616681,0.0190000000000001,0.032,0.0089999999999998,51.937956312737015,-0.0076836240220772,37.74832687163656,3.3829435561435024,3.362429585281834,3.314,2024-09-02 07:00:00+00:00,1
0.0660000099999998,0.0525999999999998,237879.57,5.821963996492352e-05,168533.27,-0.0157288930296601,0.0,0.0469999999999997,0.0190000000000001,37.74832687163656,-0.0003924741524667,53.33331418804104,3.382551081991036,3.3668221889613754,3.333,2024-09-02 08:00:00+00:00,0
0.0540000100000002,0.0549999999999999,317984.11,5.837093884064597e-05,211729.944,-0.0087109626711998,0.0190000000000001,0.0299999999999998,0.0050000000000003,53.33331418804104,0.0035265224011955,60.454526219014376,3.386077604392231,3.377366641721032,3.36,2024-09-02 09:00:00+00:00,0
0.0620000100000002,0.0558,447217.55,5.887329437963463e-05,267666.428,0.0002243908175056,0.008,0.036,0.0180000000000002,60.454526219014376,0.0077229860810361,63.59830773271324,3.393800590473268,3.394024981290773,3.4,2024-09-02 10:00:00+00:00,0
0.0330000099999999,0.055,136188.94,5.869363275929739e-05,272520.692,0.0042748908912484,0.0069999999999996,0.0150000000000001,0.0110000000000001,63.59830773271324,0.004693254603564,69.72474825352121,3.3984938450768314,3.40276873596808,3.422,2024-09-02 11:00:00+00:00,0
0.0230000100000001,0.0476,139116.09,5.889309746867569e-05,255677.252,0.0079318862428059,0.008,0.0100000000000002,0.0049999999999998,69.72474825352121,0.0054008206564226,64.70585813149701,3.403894665733254,3.41182655197606,3.421,2024-09-02 12:00:00+00:00,0
0.0470000100000001,0.0438000000000001,126869.67,5.8506851523567226e-05,233475.272,0.0059612036798917,0.0,0.0340000000000002,0.0129999999999999,64.70585813149701,1.4044568899418408e-05,59.60589077629373,3.403908710302153,3.409869913982045,3.404,2024-09-02 13:00:00+00:00,0
0.1340000099999999,0.0598,876413.46,5.978121746847108e-05,345161.142,0.0160315532246673,0.028,0.0990000000000002,0.0069999999999996,59.60589077629373,0.0132121719597129,81.48146035665836,3.4171208822618664,3.4331524354865337,3.376,2024-09-02 14:00:00+00:00,0
0.0290000099999999,0.0532,456425.03,5.9602319792667976e-05,347002.638,0.0204095619879498,0.004,0.0140000000000002,0.0109999999999996,81.48146035665836,0.0095838823650842,72.99575903078838,3.4267047646269506,3.4471143266149005,3.485,2024-09-02 15:00:00+00:00,0
0.05200001,0.057,166425.72,5.931956465849687e-05,353049.994,0.0193082822844847,0.004,0.028,0.02,72.99575903078838,0.0045726980497398,61.01693105430007,3.4312774626766904,3.450585744961175,3.457,2024-09-02 16:00:00+00:00,0
0.0430000099999997,0.0609999999999999,118725.08,5.966092564840455e-05,348971.792,0.0214488410677491,0.0009999999999998,0.0310000000000001,0.0109999999999996,61.01693105430007,0.0079630049764416,60.17314193887472,3.439240467653132,3.460689308720881,3.459,2024-09-02 17:00:00+00:00,0
0.08000001,0.0675999999999999,580287.81,5.8817484728399146e-05,439655.42,0.0161752429079462,0.0150000000000001,0.0510000000000001,0.0139999999999997,60.17314193887472,0.0001012709795826,52.05991144496705,3.4393417386327148,3.455516981540661,3.425,2024-09-02 18:00:00+00:00,0
0.03200001,0.0471999999999999,163384.3,5.9017806128988047e-05,297049.58800000005,0.0132582293404759,0.0139999999999997,0.0089999999999998,0.0090000000000003,52.05991144496705,0.0012877681823049,51.8796855955714,3.44062950681502,3.453887736155496,3.426,2024-09-02 19:00:00+00:00,0
0.0700000099999998,0.0553999999999999,235273.73,5.94317873609981e-05,252819.32800000004,0.0175702295436046,0.004,0.0579999999999998,0.008,51.8796855955714,0.0087160657579974,67.70831687645068,3.449345572573017,3.4669158021166218,3.444,2024-09-02 20:00:00+00:00,0
0.0420000099999998,0.0533999999999998,149253.49,5.912239402509865e-05,249384.88200000004,0.0180373553575181,0.0089999999999998,0.016,0.0169999999999999,67.70831687645068,0.0055539236569308,47.05880738178178,3.454899496229948,3.472936851587466,3.482,2024-09-02 21:00:00+00:00,0
0.0250000099999999,0.0497999999999999,83985.58,5.883741513688545e-05,242436.982,0.0178564086246444,0.0130000000000003,0.0019999999999997,0.0099999999999997,47.05880738178178,0.0049467338360074,50.785321701714594,3.459846230065956,3.4777026386906,3.477,2024-09-02 22:00:00+00:00,0
0.0140000099999997,0.0365999999999998,66447.18,5.9037278041565565e-05,139668.856,0.0170269129607887,0.008,0.0,0.0059999999999997,50.785321701714594,0.0041538359912056,59.14631621803586,3.464000066057161,3.4810269790179498,3.483,2024-09-02 23:00:00+00:00,0
0.0290000099999999,0.0359999999999998,74039.5,5.916501724071302e-05,121799.896,0.0176701770139229,0.0130000000000003,0.0159999999999995,0.0,59.14631621803586,0.0055999911923785,55.03353119230071,3.46960005724954,3.4872702342634625,3.477,2024-09-03 00:00:00+00:00,0
0.0270000100000001,0.0273999999999999,158395.56,5.92543848497365e-05,106424.262,0.0190159594146628,0.0139999999999997,0.0130000000000003,0.0,55.03353119230071,0.0065866590333945,85.58553161272812,3.476186716282934,3.495202675697597,3.492,2024-09-03 01:00:00+00:00,0
