volume,atr_5,volume_ma_5,alt_btc_ratio,candle_range,rsi_7_prev,ema_14_prev,high,ema_7_prev,low,ema_14,volume_slope,lower_wick,body_size,ema_divergence,timestamp,binary_label
4057243.0,0.000216,5873006.82,3.621203716544169e-07,0.0001200099999999,61.32760942312055,0.0210568353648215,0.02098,0.0209628137695352,0.02086,0.021034590649512,-5452578.199999999,2.9999999999998778e-05,6.000000000000103e-05,-8.998032236059994e-05,2024-09-02 06:00:00+00:00,0
5553864.5,0.000236,6029577.38,3.595260234110696e-07,0.00033001,50.71949222542637,0.021034590649512,0.02093,0.0209446103271514,0.0206,0.020988645229577,1496621.5,8.99999999999998e-05,0.0001999999999999,-0.0001076874842135,2024-09-02 07:00:00+00:00,1
8542243.5,0.0003,6656111.7,3.618919040423205e-07,0.00045001,34.93681255797698,0.020988645229577,0.02109,0.0208809577453635,0.02064,0.0209914925323001,2988379.0,5.000000000000143e-05,0.00032,-7.827422327746567e-05,2024-09-02 08:00:00+00:00,0
6696764.7,0.00032,6871987.38,3.640264475658943e-07,0.00042001,51.34811318205168,0.0209914925323001,0.02129,0.0209132183090226,0.02087,0.0210272935279934,-1845478.8,0.00014,0.00025,-2.7379796226450343e-05,2024-09-02 09:00:00+00:00,0
6506215.7,0.000302,6271266.279999999,3.6547939426149483e-07,0.0001900099999999,60.73759138415052,0.0210272935279934,0.02139,0.020999913731767,0.0212,0.0210743210575943,-190549.0,8.000000000000021e-05,9.99999999999994e-05,2.061424123091932e-05,2024-09-02 10:00:00+00:00,0
5699652.6,0.00031,6599748.2,3.6510212503814913e-07,0.00016001,61.86738797326756,0.0210743210575943,0.02144,0.0210949352988252,0.02128,0.0211084115832484,-806563.1000000006,4.999999999999796e-05,4.000000000000184e-05,4.5289890870516686e-05,2024-09-02 11:00:00+00:00,0
2696924.2,0.000284,6028360.14,3.642501259548508e-07,0.0002000099999999,74.13345746377362,0.0211084115832484,0.0214,0.0211537014741189,0.0212,0.0211299567054819,-3002728.3999999994,7.000000000000062e-05,4.999999999999796e-05,5.2819400107238096e-05,2024-09-02 12:00:00+00:00,0
5884289.8,0.0002339999999999,5496769.4,3.643787462689851e-07,0.0002000099999999,65.70990505394883,0.0211299567054819,0.02137,0.0211827761055892,0.02117,0.0211392958114177,3187365.6,2.9999999999998778e-05,6.000000000000103e-05,4.77862677741997e-05,2024-09-02 13:00:00+00:00,0
13402420.3,0.0002479999999999,6837900.5200000005,3.662303530897486e-07,0.00049001,64.481762875326,0.0211392958114177,0.02146,0.0211870820791919,0.02097,0.0211820563698953,7518130.500000001,0.00024,0.00025,7.325518949858473e-05,2024-09-02 14:00:00+00:00,0
8479801.7,0.0002439999999999,7232617.720000001,3.6489124413052105e-07,0.00017001,84.06558885732744,0.0211820563698953,0.0215,0.0212553115593939,0.02133,0.0212057821872426,-4922618.6000000015,3.0000000000002247e-05,9.99999999999994e-05,7.570148230281668e-05,2024-09-02 15:00:00+00:00,0
4402671.3,0.0002699999999999,6973221.459999999,3.628417173708116e-07,0.0002900099999999,69.2254441966003,0.0212057821872426,0.02145,0.0212814836695454,0.02116,0.0212010112289436,-4077130.4,9.999999999999593e-06,0.0001799999999999,5.260152321547376e-05,2024-09-02 16:00:00+00:00,0
4782130.1,0.0002799999999999,7390262.639999999,3.652116817835592e-07,0.00025001,44.70220099521215,0.0212010112289436,0.02142,0.021253612752159,0.02117,0.0212235430650844,379458.7999999998,0.0,0.0001999999999999,5.916649903485102e-05,2024-09-02 17:00:00+00:00,0
4103230.3,0.00027,7034050.74,3.648735825883831e-07,0.00015001,49.45864289784642,0.0212235430650844,0.02144,0.0212827095641193,0.02129,0.0212390706564065,-678899.7999999998,5.000000000000143e-05,2.9999999999998778e-05,5.796151668294863e-05,2024-09-02 18:00:00+00:00,0
2210074.0,0.000194,4795581.48,3.656742583289285e-07,0.00011001,50.54556242926385,0.0212390706564065,0.02143,0.0212970321730894,0.02132,0.021256527902219,-1893156.3,9.999999999999593e-06,4.000000000000184e-05,5.8746227598115847e-05,2024-09-02 19:00:00+00:00,0
5999825.4,0.000244,4299586.220000001,3.676769731489016e-07,0.00042001,55.67738929857852,0.021256527902219,0.02176,0.0213152741298171,0.02134,0.0213143241819231,3789751.4,2.9999999999998778e-05,0.00032,9.463141543970129e-05,2024-09-02 20:00:00+00:00,0
4845858.5,0.000218,4388223.659999999,3.675038528629737e-07,0.00016001,71.6769757625635,0.0213143241819231,0.0218,0.0214089555973628,0.02164,0.0213657476243333,-1153966.9000000004,6.000000000000103e-05,1.9999999999999185e-05,0.0001159690736887,2024-09-02 21:00:00+00:00,0
5215185.0,0.000192,4474834.640000001,3.6697563049294533e-07,0.0001200099999999,63.63130205551842,0.0213657476243333,0.02182,0.0214817166980221,0.0217,0.0214209812744222,369326.5,9.999999999999593e-06,7.000000000000062e-05,0.0001353062490943,2024-09-02 22:00:00+00:00,0
4195664.7,0.00018,4493321.5200000005,3.683276756646514e-07,9.00099999999998e-05,74.41254781587557,0.0214209812744222,0.02183,0.0215562875235166,0.02174,0.0214688504378326,-1019520.2999999998,3.0000000000002247e-05,9.999999999999593e-06,0.0001433652048048,2024-09-02 23:00:00+00:00,0
5090012.7,0.0001859999999999,5069309.26,3.6940166212185057e-07,0.0001400099999999,95.51240915128288,0.0214688504378326,0.02191,0.0216122156426374,0.02177,0.0215250037127882,894348.0,0.0,0.0001199999999999,0.0001566580191898,2024-09-03 00:00:00+00:00,0
5162694.9,0.0001559999999999,4901883.159999999,3.726341394500338e-07,0.0002700099999999,94.81614287930786,0.0215250037127882,0.02214,0.021681661731978,0.02187,0.0216056698844165,72682.20000000019,9.999999999999593e-06,0.00025,0.000188076414567,2024-09-03 01:00:00+00:00,0
8526825.6,0.0001719999999999,5638076.58,3.710946753393678e-07,0.00024001,99.99114002556736,0.0216056698844165,0.02225,0.0217937462989835,0.02201,0.0216595805664943,3364130.7,0.0,0.00012,0.0001882291577433,2024-09-03 02:00:00+00:00,0
4318177.8,0.0001779999999999,5458675.14,3.7150452056377337e-07,0.0001500099999999,86.35676707534608,0.0216595805664943,0.02209,0.0218478097242376,0.02194,0.0216996364909617,-4208647.8,1.9999999999999185e-05,6.000000000000103e-05,0.0001762208022165,2024-09-03 03:00:00+00:00,0
2192057.9,0.0001959999999999,5057953.779999999,3.70056960345021e-07,0.0001800099999999,72.12287114593404,0.0216996364909617,0.02199,0.0218758572931782,0.02181,0.0217223516255001,-2126119.9,6.000000000000103e-05,9.99999999999994e-05,0.0001520413443835,2024-09-03 04:00:00+00:00,0
1593669.9,0.0002059999999999,4358685.220000001,3.7154056702598585e-07,0.00019001,62.31251901980959,0.0217223516255001,0.02202,0.0218743929698836,0.02183,0.0217580380754334,-598388.0,5.000000000000143e-05,0.0001099999999999,0.0001452566519792,2024-09-03 05:00:00+00:00,0
2984924.9,0.000186,3923131.22,3.708546297396885e-07,0.00017001,64.37738846959873,0.0217580380754334,0.022,0.0219032947274127,0.02183,0.0217689663320423,1391255.0,9.999999999999593e-06,0.00016,0.0001185047135172,2024-09-03 06:00:00+00:00,0
4950591.4,0.000178,3207884.38,3.720056841250507e-07,0.0001900099999999,53.4048427965956,0.0217689663320423,0.02204,0.0218874710455595,0.02185,0.02179843748777,1965666.5000000005,0.0,0.0001399999999999,0.0001146657963996,2024-09-03 07:00:00+00:00,0
5910853.6,0.000216,3526419.5400000005,3.68946446122082e-07,0.00034001,55.43056506570148,0.02179843748777,0.022,0.0219131032841696,0.02166,0.0217839791560673,960262.1999999993,3.0000000000002247e-05,0.0002999999999999,7.334830705989573e-05,2024-09-03 08:00:00+00:00,0
