volume_ma_5,volume,atr_5,candle_range,ema_divergence,alt_btc_ratio,ema_14_slope,ema_7_slope,rsi_7,upper_wick,body_to_range,ema_divergence_slope,volume_slope,rsi_7_prev,rsi_7_slope,timestamp,binary_label
5294843.4,5654433.0,0.0217999999999999,0.0176000100000002,-0.0004055171571488,2.7369454001861724e-05,-0.000908660997648,-0.0018335931091879,57.60738638191593,0.0070999999999998,0.585226940211955,-0.0009249321115398,-1103444.0,41.45566559180809,16.151720790107838,2025-02-20 22:00:00+00:00,0
4773530.2,3470784.0,0.01998,0.01540001,-0.0007832057910781,2.7340420121051828e-05,-0.0005475061979618,-0.0009251948318911,50.204590527676295,0.0121000000000002,0.1168830409850248,-0.0003776886339292,-2183649.0,57.60738638191593,-7.402795854239635,2025-02-20 23:00:00+00:00,0
5153611.6,5319713.0,0.0212399999999999,0.0230000099999996,-0.0020175965434292,2.727097269115944e-05,-0.0016345053715669,-0.002868896123918,30.99233329063597,0.0052999999999996,0.3826085293006604,-0.0012343907523511,1848929.0,50.204590527676295,-19.21225723704033,2025-02-21 00:00:00+00:00,0
5557129.8,6582842.0,0.0229799999999999,0.0313000099999998,-0.004491030647677,2.7098421352429e-05,-0.003403237988691,-0.0058766720929388,16.758986521758004,0.0038999999999997,0.4792330737274582,-0.0024734341042478,1263129.0,30.99233329063597,-14.233346768877963,2025-02-21 01:00:00+00:00,0
5172311.4,4833785.0,0.0214999999999999,0.0202000099999999,-0.0068007284605151,2.7079499245345483e-05,-0.0039228062568659,-0.0062325040697039,16.133318275569465,0.0091999999999998,0.3564354671111596,-0.002309697812838,-1749057.0,16.758986521758004,-0.625668246188539,2025-02-21 02:00:00+00:00,0
5348579.8,6535775.0,0.0226599999999998,0.0234000099999996,-0.0096036744235097,2.6937501471082863e-05,-0.0051464320892833,-0.0079493780522779,15.71427142858424,0.0062999999999999,0.5555553181387571,-0.0028029459629945,1701990.0,16.133318275569465,-0.4190468469852249,2025-02-21 03:00:00+00:00,0
5520609.2,4330931.0,0.0230799999999997,0.0175000099999996,-0.0097638001520055,2.703759245676424e-05,-0.0029269078107128,-0.0030870335392085,34.911206452892344,0.0036,0.6628567640818409,-0.0001601257284957,-2204844.0,15.71427142858424,19.196935024308104,2025-02-21 04:00:00+00:00,0
5370387.6,4568605.0,0.0210999999999998,0.0131000100000001,-0.010324088537128,2.6933830742255085e-05,-0.0034299867692837,-0.0039902751544063,20.78122727053224,0.0043000000000001,0.5114499912595388,-0.0005602883851225,237674.0,34.911206452892344,-14.129979182360104,2025-02-21 05:00:00+00:00,0
5044649.6,4954152.0,0.0198799999999998,0.0252000099999998,-0.0082441397028869,2.7095826348524168e-05,-0.0005726552000462,0.0015072936341948,36.78301028914322,0.0022999999999999,0.7142854308391273,0.0020799488342411,385547.0,20.78122727053224,16.00178301861098,2025-02-21 06:00:00+00:00,0
5086081.8,5040946.0,0.0194799999999998,0.0182000099999997,-0.0074223683038674,2.708908638603313e-05,-0.0014163011733732,-0.0005945297743537,37.62751742441066,0.0084999999999997,0.3791206708128178,0.0008217713990195,86794.0,36.78301028914322,0.8445071352674418,2025-02-21 07:00:00+00:00,0
4837150.4,5291118.0,0.0189999999999998,0.0210000099999999,-0.0052524712843755,2.720096980646533e-05,0.000359205649743,0.0025291026692348,54.90711082894227,0.0041999999999999,0.5619044943311972,0.0021698970194918,250172.0,37.62751742441066,17.27959340453161,2025-02-21 08:00:00+00:00,0
6274728.2,11518820.0,0.0251799999999999,0.04840001,-0.00419195584556,2.712082954960305e-05,-0.0002886884368895,0.0007718270019259,57.02473840589945,0.0235999999999996,0.0909090721262331,0.0010605154388154,6227702.0,54.90711082894227,2.117627576957176,2025-02-21 09:00:00+00:00,0
6241726.8,4403598.0,0.0262799999999999,0.0186000100000001,-0.0023478889488113,2.713361457023486e-05,0.0009098033546957,0.0027538702514444,73.46033515801378,0.0030000000000001,0.4677416840098511,0.0018440668967487,-7115222.0,57.02473840589945,16.43559675211433,2025-02-21 10:00:00+00:00,0
6569843.4,6594735.0,0.0265599999999999,0.0266000099999997,-0.0039876491676307,2.6875380845245784e-05,-0.0025448370925968,-0.0041845973114162,47.24598155179076,0.0014999999999996,0.9436086678163044,-0.0016397602188193,2191137.0,73.46033515801378,-26.21435360622301,2025-02-21 11:00:00+00:00,0
6402959.0,4206524.0,0.0270599999999999,0.0207000100000001,-0.003182238337609,2.6951387203753134e-05,-0.000218858813584,0.0005865520164376,59.51052095954992,0.0005000000000001,0.7149755000118372,0.0008054108300217,-2388211.0,47.24598155179076,12.26453940775916,2025-02-21 12:00:00+00:00,0
8620911.0,16380878.0,0.03296,0.0505000099999999,0.0013090199798253,2.7167684116755303e-05,0.004223655694894,0.0087149140123283,65.33328977780683,0.0173,0.6554454147632869,0.0044912583174343,12174354.0,59.51052095954992,5.822768818256904,2025-02-21 13:00:00+00:00,1
8804132.0,12434925.0,0.03352,0.0512000100000001,0.0006613705534967,2.701518772897991e-05,-0.0003661650644253,-0.0010138144907538,53.468404187152686,0.0024999999999999,0.589843634796168,-0.0006476494263285,-3945953.0,65.33328977780683,-11.86488559065414,2025-02-21 14:00:00+00:00,1
16330856.2,42037219.0,0.05654,0.1337000100000001,-0.0060933139254002,2.664925929655904e-05,-0.0075306763891682,-0.0142853608680653,33.25511831168164,0.0296000000000002,0.4046372173046208,-0.006754684478897,29602294.0,53.468404187152686,-20.213285875471044,2025-02-21 15:00:00+00:00,1
