volume,volume_ma_5,atr_5,ema_divergence,body_size,alt_btc_ratio,candle_range,rsi_7_slope,volume_slope,ema_divergence_slope,rsi_7,rsi_7_prev,lower_wick,upper_wick_ratio,ema_7_prev,timestamp,binary_label
922931.1,1164614.92,0.0052999999999999,-0.0011295349208229,0.0002,8.634378033559838e-06,0.00300001,-5.357167451820402,-472205.5000000001,0.0005145913297179,71.42830687928665,76.78547433110705,0.0010999999999999,0.5666647777840667,0.4955682186030362,2024-09-02 06:00:00+00:00,1
1030678.1,1104282.3199999998,0.0054599999999999,-0.0011190660591455,0.0030999999999999,8.601516751497315e-06,0.0060000099999999,-17.374457353311882,107747.0,1.0468861677381812e-05,54.05384952597477,71.42830687928665,0.0017999999999999,0.1833330277782869,0.4962011639522772,2024-09-02 07:00:00+00:00,1
2238387.3,1314117.84,0.0066799999999999,-0.000188292430417,0.0076,8.657157114310818e-06,0.0101000099999999,13.000232110237874,1207709.1999999995,0.0009307736287285,67.05408163621264,54.05384952597477,0.0006999999999999,0.1782176453290564,0.4959008729642079,2024-09-02 08:00:00+00:00,0
3476244.6,1812675.54,0.0081999999999999,0.0017646535092703,0.0114999999999999,8.802727972418918e-06,0.01300001,11.206639063503404,1237857.3000000005,0.0019529459396874,78.26072069971605,67.05408163621264,0.0011000000000001,0.0307692071006065,0.497575654723156,2024-09-02 09:00:00+00:00,0
3431835.1,2220015.24,0.0078399999999999,0.0032902465864247,0.0029,8.83441304744343e-06,0.0071000099999999,-0.5449947972317233,-44409.5,0.0015255930771543,77.71572590248432,78.26072069971605,0.0021999999999999,0.2816897440989524,0.501706741042367,2024-09-02 10:00:00+00:00,0
1915493.3,2418527.68,0.0081999999999999,0.003647207200361,0.0044,8.768955398829995e-06,0.00480001,0.4353813642519668,-1516341.8,0.0003569606139363,78.15110726673629,77.71572590248432,9.9999999999989e-05,0.0624998697919307,0.5054800557817752,2024-09-02 11:00:00+00:00,0
1351421.5,2482676.36,0.0074799999999999,0.0038393246927408,0.0008,8.785158185935047e-06,0.0024000099999999,-3.893853075574498,-564071.8,0.0001921174923797,74.25725419116179,78.15110726673629,9.9999999999989e-05,0.6249973958441725,0.5071850418363315,2024-09-02 12:00:00+00:00,0
2069161.4,2448831.18,0.0066799999999999,0.0034395569063629,0.0034999999999999,8.758840051824284e-06,0.0061000099999999,-7.093215429451689,717739.8999999999,-0.0003997677863778,67.1640387617101,74.25725419116179,0.0009,0.2786880677244851,0.5086387813772486,2024-09-02 13:00:00+00:00,0
2988918.4,2351365.94,0.0056799999999999,0.0036017226150053,0.0045999999999999,8.775193269279996e-06,0.00800001,10.26437781002815,919757.0,0.0001621657086423,77.42841657173825,67.1640387617101,0.0029,0.0624999218751045,0.5088790860329364,2024-09-02 14:00:00+00:00,0
1903986.2,2045796.16,0.00504,0.0034587395717894,0.0010999999999999,8.765248003903107e-06,0.00390001,-9.007531991454826,-1084932.2,-0.0001429830432159,68.42088458028343,77.42841657173825,0.0002999999999999,0.6410239973743781,0.5102093145247023,2024-09-02 15:00:00+00:00,0
1728433.5,2008384.2,0.0051999999999999,0.0030638426079726,0.0016,8.766818064958436e-06,0.0056000099999999,-25.4102937599264,-175552.69999999995,-0.0003948969638167,43.01059082035703,68.42088458028343,0.0008999999999999,0.5535704400527902,0.5109319858935267,2024-09-02 16:00:00+00:00,0
1289740.2,1996047.94,0.00562,0.0030783648278926,0.0033,8.796184024988204e-06,0.00450001,1.4918638826886197,-438693.3000000001,1.4522219920043432e-05,44.50245470304565,43.01059082035703,0.0,0.2666660740753827,0.511073989420145,2024-09-02 17:00:00+00:00,0
1255969.8,1833409.62,0.00514,0.0028451921099109,0.0010999999999999,8.779877444195629e-06,0.00370001,9.294775309226344,-33770.39999999991,-0.0002331727179817,53.797230012272,44.50245470304565,0.0012999999999999,0.3513504017556887,0.5119804920651088,2024-09-02 18:00:00+00:00,0
535500.2,1342725.98,0.00396,0.0026454567728924,0.0004,8.793636001648872e-06,0.0021000099999999,-0.8942431225353502,-720469.6000000001,-0.0001997353370185,52.902986889736646,53.797230012272,0.0012999999999999,0.190475283451011,0.5123603690488315,2024-09-02 19:00:00+00:00,0
2558689.8,1473666.7,0.0050799999999999,0.003115780244734,0.0059,8.811364252780039e-06,0.0095000099999999,25.43004181515132,2023189.6,0.0004703234718416,78.33302870488797,52.902986889736646,0.0010999999999999,0.2631576177288191,0.5127452767866236,2024-09-02 20:00:00+00:00,0
2069866.6,1541953.3199999998,0.0052599999999999,0.0030959644932733,0.0018,8.77097905058682e-06,0.0065000099999999,-16.24180951438766,-488823.1999999997,-1.9815751460705577e-05,62.091219190500304,78.33302870488797,0.0020999999999999,0.3999993846163245,0.5145089575899677,2024-09-02 21:00:00+00:00,0
792473.6,1442500.0,0.0048999999999999,0.0030265521050479,0.0003999999999999,8.732941656771972e-06,0.00270001,5.716674881240046,-1277393.0,-6.941238822533169e-05,67.80789407174035,62.091219190500304,0.0016,0.259258299043346,0.5153567181924759,2024-09-02 22:00:00+00:00,0
463392.1,1283984.46,0.0047199999999999,0.0026588823158665,0.0017,8.732984927145361e-06,0.00280001,-1.3652531982413194,-329081.5,-0.0003676697891814,66.44264087349903,67.80789407174035,0.0002999999999999,0.2857132653097724,0.5160925386443569,2024-09-02 23:00:00+00:00,0
