volume_ma_5,volume,atr_5,alt_btc_ratio,ema_divergence,ema_14_prev,high,rsi_7,rsi_7_slope,ema_7,rsi_7_prev,lower_wick,candle_range,ema_7_prev,body_to_range,timestamp,binary_label
12942.178999999993,20681.1,4.920000000000004,0.0092499026894342,-2.769199450039764,547.3406645817771,539.7,16.504854312847826,-2.4895590206938607,542.9793765208337,18.994413333541686,0.2999999999999545,4.600000010000023,545.5058353611116,0.8695652155009409,2024-09-16 15:00:00+00:00,0
15148.074399999992,15332.285,5.420000000000004,0.0092198613457399,-3.564233450798384,545.7485759708735,535.8,17.80104705517975,1.2961927423319253,540.4845323906253,16.504854312847826,1.1000000000000227,3.900000009999977,542.9793765208337,0.6153846138067038,2024-09-16 16:00:00+00:00,0
17917.153199999993,19962.227,6.479999999999995,0.009215138680016,-3.6005311029315408,544.0487658414237,537.1,20.70707063386393,2.9060235786841844,539.388399292969,17.80104705517975,4.5,8.50000001,540.4845323906253,0.3529411760553633,2024-09-16 17:00:00+00:00,0
16828.491199999993,6570.46,6.420000000000004,0.0092234351250518,-3.749106873387064,542.9889303959005,536.6,18.89400915564152,-1.8130614782224228,538.0412994697267,20.70707063386393,2.0,4.600000010000023,539.388399292969,0.4782608685255274,2024-09-16 18:00:00+00:00,0
13263.583599999993,3771.846,4.740000000000009,0.0091950864964597,-3.8607108950702695,541.7904063431138,534.4,18.385650166502487,-0.5083589891390261,536.730974602295,18.89400915564152,0.5,2.1000000100000227,538.0412994697267,0.5714285687074985,2024-09-16 19:00:00+00:00,0
10335.085999999994,6038.612,4.8,0.0091769534698643,-4.201229812662064,540.5916854973652,534.1,12.550607251880932,-5.835042914621553,534.8982309517212,18.385650166502487,0.1999999999999318,4.900000009999977,536.730974602295,0.6938775496043301,2024-09-16 20:00:00+00:00,0
8748.622999999996,7399.97,4.720000000000004,0.0091472614254554,-4.154192782007954,539.0994607643833,530.5,24.41860455178493,11.867997299904005,533.7986732137908,12.550607251880932,2.3999999999999773,3.50000001,534.8982309517212,0.3142857133877616,2024-09-16 21:00:00+00:00,0
5540.595599999994,3922.09,3.3600000000000136,0.0091478335090851,-4.008478952682481,537.9528659957988,530.7,31.11111094979431,6.692506398009371,532.9240049103431,24.41860455178493,1.2999999999999543,1.7000000100000454,533.7986732137908,0.1176470581315115,2024-09-16 22:00:00+00:00,0
5675.545799999994,7245.211,3.4400000000000093,0.009167899331415,-3.3834823318649114,536.9324838630256,535.3,52.413792850416286,21.302681900621977,533.1180036827573,31.11111094979431,0.0,5.00000001,532.9240049103431,0.6799999986400183,2024-09-16 23:00:00+00:00,0
6264.960799999994,6718.921,4.220000000000004,0.0091983326048355,-3.284451783937925,536.5014860146222,535.8,29.999999860000315,-22.41379299041597,532.3635027620679,52.413792850416286,0.3000000000000682,6.00000001,533.1180036827573,0.5999999990000038,2024-09-17 00:00:00+00:00,0
