atr_5,candle_range,volume,ema_divergence,ema_14_slope,volume_ma_5,alt_btc_ratio,body_size,upper_wick,ema_14,rsi_7,ema_7_prev,upper_wick_ratio,high,volume_slope,timestamp,binary_label
0.0401999999999999,0.0220000100000002,109614.81,0.0048533384688145,-0.002482874359436,197765.85999999964,3.347951547035548e-05,0.0150000000000001,0.0,2.8661386833363345,35.13510189922813,2.8779893624068653,0.0,2.865,58535.48,2025-04-01 18:00:00+00:00,0
0.0295999999999999,0.02000001,70027.01,0.0011738241290384,-0.002818491111511,146007.27999999962,3.348161353368009e-05,0.0049999999999998,0.0019999999999997,2.8633201922248235,32.91136324309609,2.870992021805149,0.0999999500000139,2.852,-39587.8,2025-04-01 19:00:00+00:00,0
0.026,0.0250000100000003,82188.32,-0.0020736543294508,-0.0033760256299761,97398.30999999962,3.329763438962785e-05,0.0070000000000001,0.0,2.859944166594848,26.82924538966877,2.864494016353862,0.0,2.845,12161.310000000012,2025-04-01 20:00:00+00:00,0
0.0236000000000001,0.0300000100000002,131319.95,-0.0032987268498203,-0.0019925555459794,88845.88399999963,3.338267789857862e-05,0.0070000000000001,0.0169999999999999,2.857951611048868,23.076902366882702,2.8578705122653965,0.5666664777778329,2.862,49131.630000000005,2025-04-01 21:00:00+00:00,0
0.0234000000000001,0.02000001,101206.29,-0.0035183997597334,-0.0011935481398488,98871.27599999963,3.347826480355638e-05,0.0030000000000001,0.012,2.856758062909019,15.492942471747,2.8546528841990475,0.5999997000001499,2.861,-30113.66000000001,2025-04-01 22:00:00+00:00,0
0.0236000000000001,0.0230000100000001,108291.3,-0.0049439071591859,-0.0026344083878688,98606.57399999964,3.331441171821809e-05,0.012,0.004,2.85412365452115,17.18748120119261,2.8532396631492856,0.1739129678639261,2.853,7085.010000000009,2025-04-01 23:00:00+00:00,0
0.0264000000000001,0.0340000099999998,189828.55,-0.0085056900635236,-0.005483153936153,122566.88199999963,3.3107948979626665e-05,0.0229999999999996,0.004,2.848640500584997,14.864850803519616,2.849179747361964,0.1176470242214642,2.84,81537.24999999999,2025-04-02 00:00:00+00:00,0
0.0272,0.0290000099999999,191110.82,-0.0099539926158924,-0.0040854000779995,144351.38199999963,3.309558846845408e-05,0.004,0.0139999999999997,2.8445551005069976,24.99997265627991,2.840134810521473,0.4827584542212168,2.832,1282.2700000000186,2025-04-02 01:00:00+00:00,0
0.0296,0.0420000100000002,249878.41,-0.012430256187736,-0.0056740134009327,168063.0739999996,3.307585632471284e-05,0.016,0.008,2.838881087106065,21.33331342224077,2.834601107891105,0.1904761451247263,2.826,58767.59,2025-04-02 02:00:00+00:00,0
0.0325999999999999,0.0350000099999997,139079.44,-0.0104754856365096,-0.0013174782808085,175637.70399999962,3.34594914251922e-05,0.028,0.0069999999999996,2.8375636088252563,45.26312454296093,2.8264508309183287,0.1999999428571515,2.836,-110798.97,2025-04-02 03:00:00+00:00,0
