ema_divergence,volume_ma_5,alt_btc_ratio,volume,atr_5,rsi_7,candle_range,ema_14_slope,volume_slope,lower_wick,ema_7_slope,rsi_7_slope,rsi_7_prev,upper_wick,ema_7,timestamp,binary_label
-0.0011295349208229,1164614.92,8.634378033559838e-06,922931.1,0.0052999999999999,71.42830687928665,0.00300001,0.000118354019523,-472205.5000000001,0.0010999999999999,0.0006329453492409,-5.357167451820402,76.78547433110705,0.0016999999999999,0.4962011639522772,2024-09-02 06:00:00+00:00,0
-0.0011190660591455,1104282.3199999998,8.601516751497315e-06,1030678.1,0.0054599999999999,54.05384952597477,0.0060000099999999,-0.0003107598497466,107747.0,0.0017999999999999,-0.0003002909880692,-17.374457353311882,71.42830687928665,0.0010999999999999,0.4959008729642079,2024-09-02 07:00:00+00:00,0
-0.000188292430417,1314117.84,8.657157114310818e-06,2238387.3,0.0066799999999999,67.05408163621264,0.0101000099999999,0.0007440081302195,1207709.1999999995,0.0006999999999999,0.001674781758948,13.000232110237874,54.05384952597477,0.0017999999999999,0.497575654723156,2024-09-02 08:00:00+00:00,0
0.0017646535092703,1812675.54,8.802727972418918e-06,3476244.6,0.0081999999999999,78.26072069971605,0.01300001,0.0021781403795235,1237857.3000000005,0.0011000000000001,0.0041310863192109,11.206639063503404,67.05408163621264,0.0003999999999999,0.501706741042367,2024-09-02 09:00:00+00:00,0
0.0032902465864247,2220015.24,8.83441304744343e-06,3431835.1,0.0078399999999999,77.71572590248432,0.0071000099999999,0.0022477216622538,-44409.5,0.0021999999999999,0.0037733147394082,-0.5449947972317233,78.26072069971605,0.002,0.5054800557817752,2024-09-02 10:00:00+00:00,0
0.003647207200361,2418527.68,8.768955398829995e-06,1915493.3,0.0081999999999999,78.15110726673629,0.00480001,0.0013480254406199,-1516341.8,9.9999999999989e-05,0.0017049860545562,0.4353813642519668,77.71572590248432,0.0002999999999999,0.5071850418363315,2024-09-02 11:00:00+00:00,0
0.0038393246927408,2482676.36,8.785158185935047e-06,1351421.5,0.0074799999999999,74.25725419116179,0.0024000099999999,0.0012616220485373,-564071.8,9.9999999999989e-05,0.001453739540917,-3.893853075574498,78.15110726673629,0.0014999999999999,0.5086387813772486,2024-09-02 12:00:00+00:00,0
0.0034395569063629,2448831.18,8.758840051824284e-06,2069161.4,0.0066799999999999,67.1640387617101,0.0061000099999999,0.0006400724420656,717739.8999999999,0.0009,0.0002403046556878,-7.093215429451689,74.25725419116179,0.0017,0.5088790860329364,2024-09-02 13:00:00+00:00,0
0.0036017226150053,2351365.94,8.775193269279996e-06,2988918.4,0.0056799999999999,77.42841657173825,0.00800001,0.0011680627831235,919757.0,0.0029,0.0013302284917658,10.26437781002815,67.1640387617101,0.0005,0.5102093145247023,2024-09-02 14:00:00+00:00,0
0.0034587395717894,2045796.16,8.765248003903107e-06,1903986.2,0.00504,68.42088458028343,0.00390001,0.0008656544120403,-1084932.2,0.0002999999999999,0.0007226713688244,-9.007531991454826,77.42841657173825,0.0025,0.5109319858935267,2024-09-02 15:00:00+00:00,0
0.0030638426079726,2008384.2,8.766818064958436e-06,1728433.5,0.0051999999999999,43.01059082035703,0.0056000099999999,0.000536900490435,-175552.69999999995,0.0008999999999999,0.0001420035266183,-25.4102937599264,68.42088458028343,0.0030999999999999,0.511073989420145,2024-09-02 16:00:00+00:00,0
0.0030783648278926,1996047.94,8.796184024988204e-06,1289740.2,0.00562,44.50245470304565,0.00450001,0.0008919804250436,-438693.3000000001,0.0,0.0009065026449637,1.4918638826886197,43.01059082035703,0.0011999999999999,0.5119804920651088,2024-09-02 17:00:00+00:00,0
0.0028451921099109,1833409.62,8.779877444195629e-06,1255969.8,0.00514,53.797230012272,0.00370001,0.0006130497017045,-33770.39999999991,0.0012999999999999,0.0003798769837227,9.294775309226344,44.50245470304565,0.0013,0.5123603690488315,2024-09-02 18:00:00+00:00,0
0.0026454567728924,1342725.98,8.793636001648872e-06,535500.2,0.00396,52.902986889736646,0.0021000099999999,0.0005846430748106,-720469.6000000001,0.0012999999999999,0.000384907737792,-0.8942431225353502,53.797230012272,0.0003999999999999,0.5127452767866236,2024-09-02 19:00:00+00:00,0
0.003115780244734,1473666.7,8.811364252780039e-06,2558689.8,0.0050799999999999,78.33302870488797,0.0095000099999999,0.0012933573315024,2023189.6,0.0010999999999999,0.0017636808033441,25.43004181515132,52.902986889736646,0.0024999999999999,0.5145089575899677,2024-09-02 20:00:00+00:00,0
0.0030959644932733,1541953.3199999998,8.77097905058682e-06,2069866.6,0.0052599999999999,62.091219190500304,0.0065000099999999,0.0008675763539688,-488823.1999999997,0.0020999999999999,0.0008477606025081,-16.24180951438766,78.33302870488797,0.0025999999999999,0.5153567181924759,2024-09-02 21:00:00+00:00,0
0.0030265521050479,1442500.0,8.732941656771972e-06,792473.6,0.0048999999999999,67.80789407174035,0.00270001,0.0008052328401063,-1277393.0,0.0016,0.000735820451881,5.716674881240046,62.091219190500304,0.0007,0.5160925386443569,2024-09-02 22:00:00+00:00,0
0.0026588823158665,1283984.46,8.732984927145361e-06,463392.1,0.0047199999999999,66.44264087349903,0.00280001,0.0004445351280921,-329081.5,0.0002999999999999,7.686533891071434e-05,-1.3652531982413194,67.80789407174035,0.0008,0.5161694039832676,2024-09-02 23:00:00+00:00,0
