atr_5,candle_range,volume_ma_5,ema_divergence,alt_btc_ratio,body_size,volume,ema_7,rsi_7,ema_14_prev,lower_wick,ema_14,ema_14_slope,upper_wick,ema_7_slope,timestamp,binary_label
0.0753999999999996,0.0510000099999992,118561.58800000002,0.0317229364392712,0.0001052926588986,0.0030000000000001,117124.05,6.195537315139498,65.51721502181016,6.15840120619257,0.0059999999999993,6.163814378700227,0.0054131725076569,0.0419999999999998,0.0011542282868335,2024-09-03 09:00:00+00:00,0
0.0715999999999997,0.0460000100000002,112674.104,0.0257971914810939,0.0001046227301979,0.0190000000000001,35841.71,6.191902986354624,55.681796035649455,6.163814378700227,0.024,6.1661057948735305,0.0022914161733034,0.0030000000000001,-0.0036343287848739,2024-09-03 10:00:00+00:00,0
0.0733999999999996,0.0840000099999996,97318.076,0.0305355508755749,0.0001060062296858,0.0829999999999993,45498.15,6.209427239765969,69.64978647671194,6.1661057948735305,0.0,6.178891688890394,0.0127858940168632,0.0010000000000003,0.0175242534113442,2024-09-03 11:00:00+00:00,1
0.0677999999999997,0.0450000099999999,76961.63200000001,0.0337642994528017,0.0001060623816585,0.0090000000000003,75943.94,6.225070429824477,65.3333130074138,6.178891688890394,0.0129999999999999,6.191306130371675,0.0124144414812814,0.0229999999999996,0.0156431900585083,2024-09-03 12:00:00+00:00,1
0.0877999999999998,0.21300001,107888.902,0.0191041760462393,0.0001051045574589,0.1340000000000003,265036.66,6.203302822368357,40.28168219797815,6.191306130371675,0.0380000000000002,6.184198646322118,-0.0071074840495573,0.0409999999999994,-0.0217676074561197,2024-09-03 13:00:00+00:00,0
0.1029999999999999,0.1270000099999997,134982.468,-0.0013283767029008,0.0001049020648194,0.0869999999999997,252591.88,6.164977116776268,23.664117922421752,6.184198646322118,0.016,6.166305493479169,-0.0178931528429489,0.024,-0.0383257055920891,2024-09-03 14:00:00+00:00,0
0.108,0.0710000100000006,157497.126,-0.0133985900997455,0.0001049805110437,0.0109999999999992,148415.0,6.138732837582201,30.02914839055275,6.166305493479169,0.0100000000000006,6.1521314276819465,-0.0141740657972224,0.0500000000000007,-0.0262442791940671,2024-09-03 15:00:00+00:00,0
0.1058000000000001,0.0730000100000003,160969.328,-0.021147609137702,0.0001049594510293,0.0029999999999992,62859.16,6.118299628186652,29.36045914176708,6.1521314276819465,0.0180000000000006,6.139447237324354,-0.0126841903575929,0.0520000000000004,-0.0204332093955494,2024-09-03 16:00:00+00:00,0
0.1104000000000001,0.0680000099999996,160660.868,-0.0223295512077843,0.0001054455960345,0.0279999999999995,74401.64,6.1097247211399885,36.26061603897122,6.139447237324354,0.0019999999999997,6.132054272347773,-0.0073929649765807,0.0380000000000002,-0.0085749070466629,2024-09-03 17:00:00+00:00,0
0.0846,0.0840000099999996,127153.502,-0.022820161846413,0.0001049615026067,0.0039999999999995,97499.83,6.102293540854991,17.02898118830184,6.132054272347773,0.0149999999999996,6.125113702701404,-0.0069405696463693,0.0650000000000003,-0.007431180284998,2024-09-03 18:00:00+00:00,0
0.0688,0.04800001,84582.818,-0.0195783866999743,0.0001051579781552,0.0229999999999996,39738.46,6.102720155641243,21.03447768133277,6.125113702701404,0.016,6.122298542341217,-0.0028151603601864,0.0090000000000003,0.0004266147862521,2024-09-03 19:00:00+00:00,0
0.0755999999999998,0.1050000099999995,66605.304,-0.0058519532981238,0.0001064436353644,0.0940000000000003,58527.43,6.126540116730932,61.99998264000504,6.122298542341217,0.0049999999999998,6.132392070029056,0.0100935276878386,0.0059999999999993,0.0238199610896892,2024-09-03 20:00:00+00:00,0
0.0801999999999997,0.09600001,84420.296,-0.0044347064769834,0.0001054793349435,0.0650000000000003,151934.12,6.127905087548198,67.98243526855063,6.132392070029056,0.0069999999999996,6.132339794025182,-5.2276003874141e-05,0.024,0.0013649708172662,2024-09-03 21:00:00+00:00,1
0.0787999999999998,0.0610000099999999,78492.42000000001,-0.0080323391606764,0.0001052795299403,0.0390000000000005,44762.26,6.118928815661148,56.2015351391184,6.132339794025182,0.0009999999999994,6.126961154821824,-0.0053786392033572,0.0209999999999999,-0.0089762718870503,2024-09-03 22:00:00+00:00,1
0.0775999999999999,0.0780000100000002,73287.412,-0.0157030557663873,0.0001051354784751,0.0490000000000003,71474.79,6.100196611745861,47.85477442298927,6.126961154821824,0.0209999999999999,6.115899667512248,-0.0110614873095764,0.008,-0.0187322039152872,2024-09-03 23:00:00+00:00,0
0.0997999999999999,0.1590000099999998,98606.224,-0.0219155863678865,0.0001055127387074,0.0129999999999999,166332.52,6.082397458809395,40.54981842444237,6.115899667512248,0.0149999999999996,6.104313045177282,-0.0115866223349661,0.1310000000000002,-0.0177991529364653,2024-09-04 00:00:00+00:00,1
0.1350000000000001,0.2810000100000006,187571.446,-0.0245232117132649,0.0001062799192941,0.0049999999999998,503353.54,6.070548094107046,42.32080900185455,6.104313045177282,0.2540000000000004,6.095071305820311,-0.0092417393569705,0.0220000000000002,-0.0118493647023489,2024-09-04 01:00:00+00:00,0
0.1374000000000002,0.1080000100000005,194792.698,-0.0298340611306517,0.0001058642660174,0.0369999999999999,188040.38,6.052161070580285,32.573282475147366,6.095071305820311,0.0190000000000001,6.081995131710936,-0.0130761741093747,0.0520000000000004,-0.0183870235267615,2024-09-04 02:00:00+00:00,0
0.1502000000000002,0.1240000099999996,203764.126,-0.0201583112142644,0.0001076888155077,0.1020000000000003,89619.4,6.064370802935214,34.70030779488471,6.081995131710936,0.0009999999999994,6.084529114149478,0.0025339824385417,0.0209999999999999,0.012209732354929,2024-09-04 03:00:00+00:00,0
0.1500000000000002,0.0770000099999999,217999.196,-0.0082971300614715,0.0001083536176667,0.0449999999999999,142650.14,6.08402810220141,51.8771207119507,6.084529114149478,0.0289999999999999,6.092325232262882,0.0077961181134034,0.0030000000000001,0.0196572992661963,2024-09-04 04:00:00+00:00,0
0.1296000000000001,0.0570000099999995,209674.814,0.000739208689894,0.0001093649809135,0.0099999999999997,124710.61,6.101021076651058,61.450365261352864,6.092325232262882,0.0209999999999999,6.100281867961164,0.0079566356982825,0.0259999999999998,0.0169929744496482,2024-09-04 05:00:00+00:00,0
0.0929999999999999,0.0980000099999998,160059.12799999997,0.0096215219219519,0.0001097784174707,0.0259999999999998,255275.11,6.120265807488294,77.9166439409789,6.100281867961164,0.0030000000000001,6.110644285566342,0.0103624176051777,0.0689999999999999,0.0192447308372356,2024-09-04 06:00:00+00:00,0
0.0979999999999998,0.13300001,163259.87399999998,0.0263909747920569,0.0001105804814436,0.0970000000000004,204044.11,6.158949355616221,88.19873859033629,6.110644285566342,0.0330000000000003,6.132558380824164,0.0219140952578218,0.0029999999999992,0.0386835481279268,2024-09-04 07:00:00+00:00,0
0.0945999999999999,0.1080000100000005,165789.47199999998,0.0392114199978896,0.000110931068994,0.0230000000000005,102267.39,6.193962016712165,88.82351112457118,6.132558380824164,0.0369999999999999,6.154750596714275,0.0221922158901115,0.048,0.0350126610959442,2024-09-04 08:00:00+00:00,0
0.1012,0.1100000100000003,162966.80199999997,0.0370209953817513,0.0001098998374295,0.0750000000000001,128536.79,6.200471512534124,79.2650773003794,6.154750596714275,0.0179999999999997,6.163450517152373,0.0086999204380973,0.0170000000000003,0.0065094958219589,2024-09-04 09:00:00+00:00,0
