atr_5,candle_range,ema_14_prev,alt_btc_ratio,ema_divergence,volume_ma_5,ema_14_slope,low,high,volume,volume_slope,body_size,ema_7_slope,rsi_7,body_to_range,timestamp,binary_label
0.0005599999999999,0.0004000099999999,0.0484862687758958,8.407294411316045e-07,-9.801763573808604e-05,1930568.6,1.830829880554441e-06,0.0483,0.0487,1606588.0,-557917.0,9.999999999999593e-05,3.663934332054364e-05,63.15556795275965,0.2499937501562374,2024-09-02 06:00:00+00:00,0
0.0005999999999999,0.0007000099999999,0.0484880996057764,8.358241530242846e-07,-0.0001187915141441,1941333.2,-5.1746614103523325e-05,0.048,0.0487,1798928.0,192340.0,0.0003,-7.25204925095882e-05,44.99842505512294,0.428565306209914,2024-09-02 07:00:00+00:00,0
0.00074,0.00110001,0.0484363529916729,8.405675829255231e-07,-4.666815130328905e-05,2153622.0,4.848626777694681e-05,0.0481,0.0492,3350156.0,1551228.0,0.0007,0.0001206096306178,59.257722947923554,0.6363578512922644,2024-09-02 08:00:00+00:00,0
0.00078,0.00090001,0.0484848392594498,8.458563739301586e-07,7.176763958671728e-05,2690984.8,0.0001220214320733,0.0486,0.0495,4534747.0,1184591.0,0.0005999999999999,0.0002404572229633,66.66525255524876,0.6666592593415551,2024-09-02 09:00:00+00:00,0
0.00076,0.00070001,0.0486068606915232,8.530131793100371e-07,0.0002046919823456,3175425.6,0.0001724185744635,0.0493,0.05,4586709.0,51962.0,0.0005,0.0003053429172225,68.57005717028515,0.7142755103498464,2024-09-02 10:00:00+00:00,0
0.0008,0.00060001,0.0487792792659867,8.54130147182543e-07,0.0002842697390607,3694754.2,0.0001494294312017,0.0496,0.0502,4203231.0,-383478.0,0.0,0.0002290071879168,85.71214291071284,0.0,2024-09-02 11:00:00+00:00,0
0.00088,0.0011000099999999,0.0489287086971885,8.545407280276001e-07,0.0003265196229569,5656522.2,0.0001295055070415,0.0497,0.0508,11607768.0,7404537.0,0.0,0.0001717553909376,81.81557859522637,0.0,2024-09-02 12:00:00+00:00,0
0.00076,0.00050001,0.04905821420423,8.542275325268187e-07,0.0003197647267241,5577546.8,8.55714394359941e-05,0.0496,0.0501,2955279.0,-8652489.0,0.0001999999999999,7.881654320324866e-05,74.99781256380015,0.399992000159994,2024-09-02 13:00:00+00:00,0
0.00076,0.0009000099999999,0.049143785643666,8.584057204293735e-07,0.0003747152199487,5804728.4,0.0001541619141778,0.0494,0.0503,5670655.0,2715376.0,0.0005,0.0002091124074024,92.30520716749938,0.5555493827846374,2024-09-02 14:00:00+00:00,0
0.0006999999999999,0.0004000099999999,0.0492979475578439,8.575627554003819e-07,0.0003862758665464,5484669.2,0.0001202736589541,0.05,0.0504,2986413.0,-2684242.0,9.999999999999593e-05,0.0001318343055518,84.99702510412153,0.2499937501562374,2024-09-02 15:00:00+00:00,0
0.0006999999999999,0.00060001,0.049418221216798,8.535435769988859e-07,0.00033424775795,5243867.8,5.090383776026192e-05,0.0498,0.0504,2999224.0,12811.0,0.0003,-1.1242708361294818e-06,61.10873466031872,0.4999916668055532,2024-09-02 16:00:00+00:00,0
0.0006,0.00060001,0.0494691250545583,8.579141986679771e-07,0.0003359545620973,3446964.4,9.744999272556092e-05,0.0498,0.0504,2623251.0,-375973.0,0.0004,9.915679687289708e-05,58.82110736616732,0.6666555557407414,2024-09-02 17:00:00+00:00,0
0.00062,0.00060001,0.0495665750472838,8.56615111887441e-07,0.0003141988327232,3596773.4,7.112332702881308e-05,0.0499,0.0505,3704324.0,1081073.0,0.0001,4.93675976546773e-05,55.55339514574429,0.1666638889351882,2024-09-02 18:00:00+00:00,0
0.00048,0.0002000099999999,0.0496376983743127,8.538673603469132e-07,0.0002662509808726,2866404.6,3.497355009163955e-05,0.0499,0.0501,2018811.0,-1685513.0,0.0001999999999999,-1.2974301758991724e-05,49.99825006124786,0.999950002499875,2024-09-02 19:00:00+00:00,0
0.0006,0.00100001,0.0496726719244043,8.611337130458367e-07,0.0003312098444739,3095197.8,0.0001503104100794,0.0499,0.0509,4130379.0,2111568.0,0.0007999999999999,0.0002152692736807,70.36854600065918,0.7999920000799937,2024-09-02 20:00:00+00:00,0
0.00058,0.00050001,0.0498229823344837,8.603316002506478e-07,0.0003623927776657,3482917.6,0.0001302690220688,0.0506,0.0511,4937823.0,807444.0,0.0,0.0001614519552605,61.90269848147917,0.0,2024-09-02 21:00:00+00:00,0
0.00054,0.0004000099999999,0.0499532513565526,8.542545668499692e-07,0.0003589152583181,3509086.4,9.956648579299147e-05,0.0505,0.0509,2754095.0,-2183728.0,9.999999999999593e-05,9.60889664454248e-05,61.90269848147917,0.2499937501562374,2024-09-02 22:00:00+00:00,0
0.0004999999999999,0.0004000099999999,0.0500528178423455,8.607841456074727e-07,0.0003680243621316,3138604.0,0.0001129576210205,0.0506,0.051,1851912.0,-902183.0,0.0001,0.000122066724834,78.94445994094966,0.2499937501562547,2024-09-02 23:00:00+00:00,0
0.0005599999999999,0.00050001,0.0501657754633661,8.623309700514648e-07,0.0003850111342059,3509291.6,0.0001245632715511,0.0506,0.0511,3872249.0,2020337.0,0.0001999999999999,0.0001415500436255,76.46743957601751,0.399992000159994,2024-09-03 00:00:00+00:00,0
0.0004599999999999,0.00050001,0.0502903387349173,8.654945670009821e-07,0.0004182188315808,3265633.6,0.0001479548353443,0.0509,0.0514,2912089.0,-960160.0,0.0003,0.0001811625327191,84.20742393701306,0.5999880002399979,2024-09-03 01:00:00+00:00,0
0.0004599999999999,0.00050001,0.0504382935702617,8.632461325477344e-07,0.0004025298738217,3504425.8,0.0001015608572984,0.0512,0.0517,6131784.0,3219695.0,9.999999999999593e-05,8.587189953936786e-05,84.20742393701306,0.19999600007999,2024-09-03 02:00:00+00:00,0
0.0004599999999999,0.0004000099999999,0.0505398544275601,8.644754554102376e-07,0.0003672477221509,3667033.0,7.468607632531155e-05,0.0511,0.0515,3567131.0,-2564653.0,0.0001,3.940392465453385e-05,63.63231430727147,0.2499937501562547,2024-09-03 03:00:00+00:00,0
