volume_ma_5,atr_5,alt_btc_ratio,ema_divergence,ema_14_slope,volume,candle_range,lower_wick,rsi_7_prev,rsi_7,ema_7_slope,rsi_7_slope,lower_wick_ratio,ema_7,volume_slope,timestamp,binary_label
638707.0180000007,0.0297999999999999,1.8567538517092688e-05,0.0029518050615886,-0.0033087114090972,1244555.15,0.0610000099999999,0.0010000000000001,74.19346462028187,45.54452288993468,-0.0081528097402401,-28.6489417303472,0.0163934399355035,1.8724584292207205,32222.85999999987,2024-12-09 01:00:00+00:00,1
878181.6480000007,0.0391999999999999,1.812575097617452e-05,-0.0061285856890405,-0.0095342165545508,1477234.99,0.0670000099999999,0.006,45.54452288993468,17.322825097655468,-0.01861460730518,-28.22169779227921,0.0895522254399665,1.8538438219155404,232679.84000000008,2024-12-09 02:00:00+00:00,1
1282561.1100000008,0.0512,1.760001227156819e-05,-0.0181265534873149,-0.0154629876806107,2218583.58,0.08200001,0.016,17.322825097655468,11.173179988141897,-0.0274609554788851,-6.149645109513571,0.1951219274241552,1.826382866436656,741348.5900000001,2024-12-09 03:00:00+00:00,0
1654770.0500000007,0.0559999999999999,1.7671080346691107e-05,-0.0238043474399496,-0.0116679226565292,2121144.24,0.0390000099999999,0.0149999999999999,11.173179988141897,18.333326203706434,-0.0173457166091639,7.160146215564538,0.3846152859960787,1.8090371498274915,-97439.33999999984,2024-12-09 04:00:00+00:00,1
1522806.1260000009,0.0545999999999999,1.7609339567301015e-05,-0.0274014352611637,-0.0109121996356587,552512.67,0.02400001,0.0109999999999998,18.333326203706434,7.8313219988400675,-0.0145092874568728,-10.502004204866369,0.458333142361186,1.7945278623706185,-1568631.5700000003,2024-12-09 05:00:00+00:00,1
1459255.9960000007,0.0495999999999999,1.748706441862982e-05,-0.0310428278362471,-0.0119905730175711,926804.5,0.0360000099999998,0.0149999999999999,7.8313219988400675,7.103822419302858,-0.0156319655926544,-0.7274995795372092,0.4166665509259575,1.778895896777964,374291.83,2024-12-09 06:00:00+00:00,1
1537948.3760000009,0.0435999999999999,1.73032776505222e-05,-0.0334249720821768,-0.0115918299485613,1870696.89,0.0370000100000001,0.0270000000000001,7.103822419302858,6.770830864801212,-0.013973974194491,-0.3329915545016462,0.7297295325055325,1.764921922583473,943892.39,2024-12-09 07:00:00+00:00,1
1511329.4640000009,0.0397999999999999,1.6855213513695243e-05,-0.0403925334392918,-0.0175129192887533,2085489.02,0.0630000099999999,0.006,6.770830864801212,6.280191112978812,-0.0244804806458682,-0.4906397518223997,0.0952380801209398,1.7404414419376046,214792.1300000001,2024-12-09 08:00:00+00:00,0
1456630.696000001,0.0414,1.7011144026873134e-05,-0.0427583638734403,-0.0142445300502527,1847650.4,0.0470000100000001,0.022,6.280191112978812,12.195116745986653,-0.0166103604844012,5.91492563300784,0.468085006790423,1.7238310814532034,-237838.6200000001,2024-12-09 09:00:00+00:00,0
1567883.6900000009,0.0408,1.7099814697979587e-05,-0.0412375415265222,-0.0104785927102191,1108777.64,0.0210000100000001,0.002,12.195116745986653,27.419339360050287,-0.008957770363301,15.224222614063637,0.0952380498866424,1.7148733110899024,-738872.76,2024-12-09 10:00:00+00:00,1
1588477.128000001,0.0422,1.681135407658005e-05,-0.0434244222834745,-0.0142814470155232,1029771.69,0.0430000099999999,0.004,27.419339360050287,13.99999346666968,-0.0164683277724755,-13.419345893380608,0.0930232341806434,1.6984049833174268,-79005.94999999995,2024-12-09 11:00:00+00:00,0
1546012.9780000006,0.043,1.6886229913373134e-05,-0.0415317473660443,-0.0102439207467868,1658376.14,0.0410000099999999,0.024,13.99999346666968,23.124989882816934,-0.0083512458293566,9.124996416147257,0.5853657108864135,1.6900537374880702,628604.45,2024-12-09 12:00:00+00:00,0
1390678.5620000008,0.0426,1.7251822981347324e-05,-0.0339004504241799,-0.0031447313138819,1308816.94,0.0610000099999999,0.0089999999999998,23.124989882816934,43.47824432892877,0.0044865656279824,20.35325444611184,0.1475409594195132,1.6945403031160526,-349559.19999999995,2024-12-09 13:00:00+00:00,0
1320541.2480000008,0.0435999999999999,1.732293118772606e-05,-0.0246600923978288,0.0008745661946356,1496963.83,0.05200001,0.0189999999999999,43.47824432892877,52.97027867366581,0.0101149242209868,9.492034344737045,0.3653845451183545,1.7046552273370394,188146.89000000013,2024-12-09 14:00:00+00:00,1
1407489.628000001,0.0521999999999999,1.7247372510530407e-05,-0.0234318566007729,-0.0056420426313157,1543519.54,0.06400001,0.0130000000000001,52.97027867366581,55.15461927410645,-0.0044138068342598,2.184340600440642,0.2031249682617254,1.7002414205027796,46555.70999999996,2024-12-09 15:00:00+00:00,0
1374996.7240000009,0.0504,1.731326357471266e-05,-0.0210357747793275,-0.0039564369471403,867307.17,0.03400001,0.0070000000000001,55.15461927410645,55.15461927410645,-0.0015603551256948,0.0,0.2058822923875643,1.6986810653770847,-676212.37,2024-12-09 16:00:00+00:00,1
1239774.5260000008,0.0504,1.712060754226952e-05,-0.0219271291027438,-0.0070289120208548,982265.15,0.0410000099999999,0.0,55.15461927410645,44.92752103900256,-0.0079202663442712,-10.227098235103888,0.0,1.6907607990328135,114957.97999999998,2024-12-09 17:00:00+00:00,0
1165826.4540000008,0.0442,1.721269677241992e-05,-0.0199089384428727,-0.0039583904180744,939076.58,0.0290000100000001,0.0,44.92752103900256,59.239107898165486,-0.0019401997582033,14.311586859162922,0.0,1.68882059927461,-43188.57000000007,2024-12-09 18:00:00+00:00,1
992672.9620000008,0.0379999999999999,1.719372100555556e-05,-0.0195668165658606,-0.0052972716956645,631196.37,0.0210000099999999,0.004,59.239107898165486,51.09888144548516,-0.0049551498186524,-8.14022645268033,0.1904760997732868,1.6838654494559575,-307880.21,2024-12-09 19:00:00+00:00,1
2458071.8040000005,0.0589999999999999,1.5791878008573536e-05,-0.0360755434602744,-0.0244576354695758,8870513.75,0.16900001,0.016,51.09888144548516,17.361106891397654,-0.0409663623639895,-33.7377745540875,0.0946745506109734,1.6428990870919682,8239317.38,2024-12-09 20:00:00+00:00,1
4645947.264,0.1117999999999999,1.4934153490484252e-05,-0.0541203644929675,-0.0309299507402989,11806684.47,0.2980000099999998,0.2199999999999999,17.361106891397654,6.886226101689118,-0.048974771772992,-10.474880789708536,0.7382550087833893,1.5939243153189762,2936170.7200000007,2024-12-09 21:00:00+00:00,0
5988091.730000001,0.1333999999999999,1.5105582868763626e-05,-0.0619454860144523,-0.0244059573082591,7692987.48,0.14900001,0.1279999999999999,6.886226101689118,13.48683899974101,-0.0322310788297439,6.600612898051892,0.8590603450295062,1.5616932364892322,-4113696.99,2024-12-09 22:00:00+00:00,0
6143151.470000001,0.1373999999999999,1.530688767797598e-05,-0.0621669654696026,-0.0179518296671576,1714375.28,0.0500000099999998,0.012,13.48683899974101,18.06853188536689,-0.0181733091223079,4.581692885625884,0.2399999520000106,1.5435199273669242,-5978612.2,2024-12-09 23:00:00+00:00,0
6330954.384000001,0.1471999999999999,1.5428959298303193e-05,-0.0577886949331303,-0.0127582523782034,1570210.94,0.07000001,0.032,18.06853188536689,25.07935950617407,-0.0083799818417311,7.010827620807177,0.457142791836744,1.535139945525193,-144164.34000000008,2024-12-10 00:00:00+00:00,1
4756353.444,0.1233999999999999,1.524309313295081e-05,-0.0549998625866521,-0.0133238187277764,997509.05,0.0500000099999998,0.026,25.07935950617407,19.936704444400903,-0.0105349863812982,-5.142655061773169,0.519999896000023,1.5246049591438948,-572701.8899999999,2024-12-10 01:00:00+00:00,1
2702563.8840000005,0.0767999999999999,1.4773431122136238e-05,-0.0589371261418862,-0.0202139762307396,1537736.67,0.0650000100000001,0.0,19.936704444400903,17.166209259851087,-0.0241512397859737,-2.770495184549816,0.0,1.500453719357921,540227.6199999999,2024-12-10 02:00:00+00:00,1
1588033.7240000009,0.0596,1.4866093226807784e-05,-0.0580151099147256,-0.0157854460666408,2120336.68,0.0630000100000001,0.048,17.166209259851087,32.900422930607775,-0.0148634298394803,15.734213670756688,0.761904640967516,1.4855902895184407,582600.0100000002,2024-12-10 03:00:00+00:00,0
1463162.852000001,0.0616,1.5077504867725556e-05,-0.052915295703247,-0.0107473865910887,1090020.92,0.06000001,0.0369999999999999,32.900422930607775,54.44442327161317,-0.0056475723796101,21.5440003410054,0.6166665638889042,1.4799427171388306,-1030315.7600000002,2024-12-10 04:00:00+00:00,0
1373411.878000001,0.0528,1.5215284934835772e-05,-0.0464365732756779,-0.0077144017122767,1121456.07,0.02600001,0.0130000000000001,54.44442327161317,52.87354194742565,-0.0012356792847076,-1.5708813241875177,0.4999998076923859,1.478707037854123,31435.15000000014,2024-12-10 05:00:00+00:00,0
1414258.7900000005,0.0486,1.5154220096322152e-05,-0.0404441845885688,-0.0064191481506399,1201743.61,0.0290000099999999,0.012,52.87354194742565,46.052610370508376,-0.0004267594635307,-6.820931576917275,0.4137929607610496,1.4782802783905922,80287.54000000004,2024-12-10 06:00:00+00:00,0
1244743.3920000007,0.0406,1.508285694414322e-05,-0.0364843257889953,-0.0070299283972214,690159.68,0.0250000100000001,0.014,46.052610370508376,34.50702524301575,-0.0030700695976479,-11.545585127492629,0.5599997760000871,1.4752102087929442,-511583.93000000005,2024-12-10 07:00:00+00:00,0
997096.2540000008,0.0324,1.4971394163333186e-05,-0.0336276067096392,-0.007159271277592,882100.99,0.02200001,0.0109999999999998,34.50702524301575,36.84208587258637,-0.004302552198236,2.335060629570627,0.4999997727273709,1.470907656594708,191941.31,2024-12-10 08:00:00+00:00,0
987882.8620000008,0.0258,1.5047836117063343e-05,-0.0295998190844033,-0.0050047017739129,1043953.96,0.0270000099999999,0.004,36.84208587258637,75.32460684775998,-0.000976914148677,38.48252097517361,0.1481480932784845,1.469930742446031,161852.96999999997,2024-12-10 09:00:00+00:00,0
1174704.3540000007,0.0355999999999999,1.52936660268714e-05,-0.0228450964918534,-0.0007374082040578,2055563.53,0.0750000099999999,0.0010000000000001,75.32460684775998,79.12081825871113,0.006017314388492,3.7962114109511447,0.0133333315555572,1.4759480568345231,1011609.57,2024-12-10 10:00:00+00:00,1
1151865.270000001,0.0366,1.508352424804436e-05,-0.0200263569236343,-0.0033057537768499,1087548.19,0.03400001,0.012,79.12081825871113,56.17973109459345,-0.0004870142086308,-22.941087164117675,0.3529410726643904,1.4754610426258925,-968015.34,2024-12-10 11:00:00+00:00,1
1321747.852000001,0.0462,1.4542797301400246e-05,-0.0246432976401707,-0.0109983199399366,1539572.59,0.0730000100000001,0.0070000000000001,56.17973109459345,27.536217916411204,-0.015615260656473,-28.643513178182246,0.0958903978232345,1.4598457819694193,452024.40000000014,2024-12-10 12:00:00+00:00,0
1351894.6680000008,0.0475999999999999,1.4559278465486835e-05,-0.0256561991845802,-0.0081985439479452,1032835.07,0.0290000099999999,0.004,27.536217916411204,31.506834209052087,-0.0092114454923548,3.970616292640884,0.1379309869203498,1.4506343364770644,-506737.52000000014,2024-12-10 13:00:00+00:00,0
1468858.5200000007,0.0502,1.46186858905453e-05,-0.0246427118822936,-0.0061720714215527,1628773.22,0.04000001,0.0009999999999998,31.506834209052087,37.32392526285373,-0.005158584119266,5.81709105380164,0.0249999937499987,1.4454757523577983,595938.15,2024-12-10 14:00:00+00:00,1
1796491.708000001,0.0558,1.3945399058466037e-05,-0.0343625214063973,-0.0181491285653456,3693729.47,0.1030000099999999,0.002,37.32392526285373,23.04347124763917,-0.0278689380894494,-14.280454015214552,0.0194174738429637,1.417606814268349,2064956.25,2024-12-10 15:00:00+00:00,0
2534628.106000001,0.0636,1.431689465205326e-05,-0.0342849802168516,-0.0097292447566328,4778230.18,0.0730000099999999,0.0230000000000001,23.04347124763917,33.45863781163662,-0.0096517035670871,10.415166563997444,0.3150684499906253,1.4079551107012618,1084500.7099999995,2024-12-10 16:00:00+00:00,1
2685721.628000001,0.0643999999999999,1.3790693261219544e-05,-0.0419584124364187,-0.0185653454557483,2295040.2,0.0770000099999999,0.0009999999999998,33.45863781163662,19.682535308642898,-0.0262387776753154,-13.776102502993725,0.0129870113003867,1.3817163330259463,-2483189.9799999995,2024-12-10 17:00:00+00:00,0
2879774.826000001,0.0704,1.4117222138537356e-05,-0.04088086296459,-0.0107566327283152,2003101.06,0.0590000100000001,0.006,19.682535308642898,30.447754831812404,-0.0096790832564865,10.765219523169506,0.1016948980178137,1.3720372497694595,-291939.14000000013,2024-12-10 18:00:00+00:00,0
2880006.752000001,0.0736,1.4563435969391748e-05,-0.032634427042415,-0.00225574836454,1629932.85,0.05600001,0.0,30.447754831812404,47.40060147387734,0.0059906875576349,16.952846642064934,0.0,1.3780279373270947,-373168.21,2024-12-10 19:00:00+00:00,0
2316800.390000001,0.0594,1.463165356558154e-05,-0.0244364294582541,4.5018084065429065e-05,877697.66,0.03200001,0.01,47.40060147387734,48.19276092321306,0.0082430156682262,0.7921594493357205,0.3124999023437805,1.386270952995321,-752235.1900000001,2024-12-10 20:00:00+00:00,0
1580290.1940000008,0.051,1.4743232360775568e-05,-0.0163098500466079,0.0023056823395233,1095679.2,0.0310000100000001,0.002,48.19276092321306,49.70759216511272,0.0104322617511696,1.5148312418996568,0.06451610822061,1.3967032147464906,217981.53999999992,2024-12-10 21:00:00+00:00,1
1206994.102000001,0.0398000000000001,1.473421013069358e-05,-0.010600578427484,0.0018649246942534,428559.74,0.0210000100000001,0.0090000000000001,49.70759216511272,68.82589142586073,0.0075741963133773,19.118299260748017,0.4285712244898961,1.404277411059868,-667119.46,2024-12-10 22:00:00+00:00,1
873670.2500000009,0.031,1.4783679976809912e-05,-0.0064195325941374,0.0017496014016864,336481.8,0.0150000099999999,0.006,68.82589142586073,62.06894411415719,0.0059306472350331,-6.7569473117035415,0.3999997333335141,1.410208058294901,-92077.94,2024-12-10 23:00:00+00:00,1
675424.5780000009,0.0282,1.4686875503111057e-05,-0.0048878683826576,-8.367878520498806e-05,638704.49,0.04200001,0.0209999999999999,62.06894411415719,90.64743636460044,0.0014479854262747,28.57849225044326,0.4999998809524066,1.4116560437211758,302222.69,2024-12-11 00:00:00+00:00,0
746180.5280000009,0.03,1.445400316358861e-05,-0.0074626910324404,-0.0043391882805112,1231477.41,0.0410000100000001,0.006,90.64743636460044,65.64881988231,-0.006914010930294,-24.99861648229046,0.1463414277216025,1.4047420327908815,592772.9199999999,2024-12-11 01:00:00+00:00,0
740714.4240000009,0.0372,1.4741692726954946e-05,-0.0031709027203847,0.0027727034902238,1068348.68,0.0670000100000001,0.006,65.64881988231,64.56689354580676,0.0070644918022795,-1.08192633650323,0.0895522254399662,1.4118065245931612,-163128.72999999998,2024-12-11 02:00:00+00:00,0
880715.9040000008,0.0364,1.4774365459484308e-05,0.0004244564397977,0.0032030096915272,1128567.14,0.0170000100000001,0.0030000000000001,64.56689354580676,61.86437008045845,0.0067983688517097,-2.702523465348314,0.1764704844291321,1.418604893444871,60218.45999999996,2024-12-11 03:00:00+00:00,0
904216.8720000008,0.0370000000000001,1.4710863362630675e-05,0.0022806246792563,0.0022426083993236,453986.64,0.01800001,0.01,61.86437008045845,53.33329777780154,0.0040987766387823,-8.53107230265691,0.5555552469137517,1.4227036700836533,-674580.4999999999,2024-12-11 04:00:00+00:00,0
860336.9220000008,0.0324000000000001,1.4646876425390832e-05,0.002594446545596,0.0010102606127471,419304.74,0.0190000100000001,0.008,53.33329777780154,50.45041863487108,0.0013240824790867,-2.882879142930463,0.4210524099724133,1.42402775256274,-34681.90000000002,2024-12-11 05:00:00+00:00,0
696116.2780000009,0.0282,1.4689388027810952e-05,0.0035286158738634,0.0018088925310475,410374.19,0.02000001,0.0050000000000001,50.45041863487108,52.99142128718388,0.0027430618593149,2.541002652312798,0.249999875000068,1.426770814422055,-8930.549999999988,2024-12-11 06:00:00+00:00,0
600295.0860000009,0.0202,1.4609398918781192e-05,0.0025015387414419,-0.0001656264730922,589242.72,0.0270000100000001,0.002,52.99142128718388,52.54234171217016,-0.0011927036055137,-0.4490795750137124,0.0740740466392416,1.4255781108165413,178868.52999999997,2024-12-11 07:00:00+00:00,0
570815.800000001,0.0268,1.4881270901305578e-05,0.0061838873139863,0.0049231237233202,981170.71,0.05000001,0.0030000000000001,52.54234171217016,80.6451157648539,0.0086054722958646,28.10277405268373,0.0599999880000046,1.434183583112406,391927.99,2024-12-11 08:00:00+00:00,0
