volume,alt_btc_ratio,volume_ma_5,atr_5,ema_14_prev,ema_14,ema_14_slope,candle_range,ema_7_prev,open,upper_wick,lower_wick,ema_divergence,low,body_size,timestamp,binary_label
64155.375,0.0022330467341561,144491.147,2.1379999999999937,130.50335965994964,130.2789117052897,-0.2244479546599507,1.4100000099999963,129.52450823048284,129.08,0.6699999999999875,0.4799999999999897,-0.930530532427582,128.34,0.2600000000000193,2024-09-02 06:00:00+00:00,0
162170.809,0.0022183224818103,149587.2372,2.2179999999999978,130.2789117052897,129.92972347791772,-0.3491882273719682,2.6000000100000085,129.3483811728621,128.82,0.5800000000000125,0.8599999999999994,-1.003437598271148,126.8,1.1599999999999966,2024-09-02 07:00:00+00:00,1
248602.677,0.0022371499522616,177715.057,2.646000000000001,129.92972347791772,129.92309368086202,-0.0066297970556945,3.460000010000008,128.92628587964657,127.65,0.8000000000000114,0.4300000000000068,-0.7583792711270974,127.22,2.2299999999999898,2024-09-02 08:00:00+00:00,0
206168.379,0.002254703791885,181455.8624,2.5660000000000025,129.92309368086202,130.1573478567471,0.23425417588507,2.8300000100000124,129.16471440973493,129.88,0.1500000000000056,0.8799999999999955,-0.3638120494458974,129.0,1.8000000000000114,2024-09-02 09:00:00+00:00,0
217232.318,0.0022573224514607,179665.9116,2.3920000000000043,130.1573478567471,130.4097014758475,0.2523536191004041,1.6600000099999963,129.7935358073012,131.68,0.8799999999999955,0.4099999999999966,-0.0520496203715765,131.27,0.3700000000000045,2024-09-02 10:00:00+00:00,0
117980.487,0.0022565125712039,190430.934,2.3380000000000023,130.4097014758475,130.59907461240118,0.1893731365536837,1.1400000099999863,130.35765185547592,132.04,0.6200000000000045,0.3100000000000023,0.1266642792057553,131.52,0.2099999999999795,2024-09-02 11:00:00+00:00,0
99903.186,0.0022593097845427,177977.4094,2.0519999999999983,130.59907461240118,130.7765313307477,0.1774567183465194,1.1700000099999874,130.72573889160694,131.83,0.539999999999992,0.5300000000000011,0.2502728379575103,131.3,0.0999999999999943,2024-09-02 12:00:00+00:00,0
103596.722,0.0022476324834714,148976.21839999998,1.7180000000000006,130.7765313307477,130.775660486648,-0.000870844099694,1.7900000100000204,131.0268041687052,131.92,0.5400000000000205,0.1000000000000227,0.1869426398808968,130.67,1.1499999999999773,2024-09-02 13:00:00+00:00,0
192498.626,0.0022683755141048,146242.26779999997,1.8120000000000005,130.775660486648,131.0615724217616,0.285911935113603,3.300000010000012,130.9626031265289,130.77,0.3800000000000239,0.7700000000000102,0.3903799231350717,130.0,2.1499999999999773,2024-09-02 14:00:00+00:00,0
115502.719,0.0022641706693379,125896.348,1.6979999999999962,131.0615724217616,131.25869609886007,0.1971236770984603,1.090000009999975,131.45195234489668,132.92,0.5300000000000011,0.1799999999999784,0.4652681598124388,132.36,0.3799999999999954,2024-09-02 15:00:00+00:00,0
