volume_ma_5,atr_5,candle_range,volume,ema_divergence,alt_btc_ratio,ema_14_slope,upper_wick,lower_wick,rsi_7,ema_7_prev,rsi_7_prev,ema_7,rsi_7_slope,ema_14_prev,timestamp,binary_label
5873006.82,0.000216,0.0001200099999999,4057243.0,-8.998032236059994e-05,3.621203716544169e-07,-2.224471530954189e-05,2.9999999999998778e-05,2.9999999999998778e-05,50.71949222542637,0.0209628137695352,61.32760942312055,0.0209446103271514,-10.608117197694176,0.0210568353648215,2024-09-02 06:00:00+00:00,0
6029577.38,0.000236,0.00033001,5553864.5,-0.0001076874842135,3.595260234110696e-07,-4.5945419934936144e-05,4.000000000000184e-05,8.99999999999998e-05,34.93681255797698,0.0209446103271514,50.71949222542637,0.0208809577453635,-15.782679667449392,0.021034590649512,2024-09-02 07:00:00+00:00,0
6656111.7,0.0003,0.00045001,8542243.5,-7.827422327746567e-05,3.618919040423205e-07,2.847302723055223e-06,8.000000000000021e-05,5.000000000000143e-05,51.34811318205168,0.0208809577453635,34.93681255797698,0.0209132183090226,16.411300624074705,0.020988645229577,2024-09-02 08:00:00+00:00,0
6871987.38,0.00032,0.00042001,6696764.7,-2.7379796226450343e-05,3.640264475658943e-07,3.580099569331502e-05,2.9999999999998778e-05,0.00014,60.73759138415052,0.0209132183090226,51.34811318205168,0.020999913731767,9.389478202098836,0.0209914925323001,2024-09-02 09:00:00+00:00,0
6271266.279999999,0.000302,0.0001900099999999,6506215.7,2.061424123091932e-05,3.6547939426149483e-07,4.702752960087514e-05,9.999999999999593e-06,8.000000000000021e-05,61.86738797326756,0.020999913731767,60.73759138415052,0.0210949352988252,1.129796589117042,0.0210272935279934,2024-09-02 10:00:00+00:00,0
6599748.2,0.00031,0.00016001,5699652.6,4.5289890870516686e-05,3.6510212503814913e-07,3.409052565409021e-05,7.000000000000062e-05,4.999999999999796e-05,74.13345746377362,0.0210949352988252,61.86738797326756,0.0211537014741189,12.266069490506062,0.0210743210575943,2024-09-02 11:00:00+00:00,0
6028360.14,0.000284,0.0002000099999999,2696924.2,5.2819400107238096e-05,3.642501259548508e-07,2.1545122233544017e-05,8.000000000000021e-05,7.000000000000062e-05,65.70990505394883,0.0211537014741189,74.13345746377362,0.0211827761055892,-8.423552409824794,0.0211084115832484,2024-09-02 12:00:00+00:00,0
5496769.4,0.0002339999999999,0.0002000099999999,5884289.8,4.77862677741997e-05,3.643787462689851e-07,9.339105935736449e-06,0.0001099999999999,2.9999999999998778e-05,64.481762875326,0.0211827761055892,65.70990505394883,0.0211870820791919,-1.228142178622832,0.0211299567054819,2024-09-02 13:00:00+00:00,0
6837900.5200000005,0.0002479999999999,0.00049001,13402420.3,7.325518949858473e-05,3.662303530897486e-07,4.276055847764193e-05,0.0,0.00024,84.06558885732744,0.0211870820791919,64.481762875326,0.0212553115593939,19.583825982001443,0.0211392958114177,2024-09-02 14:00:00+00:00,0
7232617.720000001,0.0002439999999999,0.00017001,8479801.7,7.570148230281668e-05,3.6489124413052105e-07,2.372581734728582e-05,3.999999999999837e-05,3.0000000000002247e-05,69.2254441966003,0.0212553115593939,84.06558885732744,0.0212814836695454,-14.840144660727148,0.0211820563698953,2024-09-02 15:00:00+00:00,0
6973221.459999999,0.0002699999999999,0.0002900099999999,4402671.3,5.260152321547376e-05,3.628417173708116e-07,-4.770958299017691e-06,9.99999999999994e-05,9.999999999999593e-06,44.70220099521215,0.0212814836695454,69.2254441966003,0.021253612752159,-24.52324320138814,0.0212057821872426,2024-09-02 16:00:00+00:00,0
7390262.639999999,0.0002799999999999,0.00025001,4782130.1,5.916649903485102e-05,3.652116817835592e-07,2.2531836140850248e-05,5.000000000000143e-05,0.0,49.45864289784642,0.021253612752159,44.70220099521215,0.0212827095641193,4.756441902634265,0.0212010112289436,2024-09-02 17:00:00+00:00,0
7034050.74,0.00027,0.00015001,4103230.3,5.796151668294863e-05,3.648735825883831e-07,1.552759132207246e-05,7.000000000000062e-05,5.000000000000143e-05,50.54556242926385,0.0212827095641193,49.45864289784642,0.0212970321730894,1.0869195314174362,0.0212235430650844,2024-09-02 18:00:00+00:00,0
4795581.48,0.000194,0.00011001,2210074.0,5.8746227598115847e-05,3.656742583289285e-07,1.7457245812462635e-05,6.000000000000103e-05,9.999999999999593e-06,55.67738929857852,0.0212970321730894,50.54556242926385,0.0213152741298171,5.131826869314665,0.0212390706564065,2024-09-02 19:00:00+00:00,0
4299586.220000001,0.000244,0.00042001,5999825.4,9.463141543970129e-05,3.676769731489016e-07,5.77962797041337e-05,7.000000000000062e-05,2.9999999999998778e-05,71.6769757625635,0.0213152741298171,55.67738929857852,0.0214089555973628,15.999586463984985,0.021256527902219,2024-09-02 20:00:00+00:00,0
4388223.659999999,0.000218,0.00016001,4845858.5,0.0001159690736887,3.675038528629737e-07,5.1423442410249154e-05,8.000000000000021e-05,6.000000000000103e-05,63.63130205551842,0.0214089555973628,71.6769757625635,0.0214817166980221,-8.045673707045083,0.0213143241819231,2024-09-02 21:00:00+00:00,0
4474834.640000001,0.000192,0.0001200099999999,5215185.0,0.0001353062490943,3.6697563049294533e-07,5.523365008888378e-05,3.999999999999837e-05,9.999999999999593e-06,74.41254781587557,0.0214817166980221,63.63130205551842,0.0215562875235166,10.781245760357152,0.0213657476243333,2024-09-02 22:00:00+00:00,0
4493321.5200000005,0.00018,9.00099999999998e-05,4195664.7,0.0001433652048048,3.683276756646514e-07,4.7869163410364096e-05,4.999999999999796e-05,3.0000000000002247e-05,95.51240915128288,0.0215562875235166,74.41254781587557,0.0216122156426374,21.099861335407297,0.0214209812744222,2024-09-02 23:00:00+00:00,0
5069309.26,0.0001859999999999,0.0001400099999999,5090012.7,0.0001566580191898,3.6940166212185057e-07,5.6153274955648286e-05,1.9999999999999185e-05,0.0,94.81614287930786,0.0216122156426374,95.51240915128288,0.021681661731978,-0.6962662719750057,0.0214688504378326,2024-09-03 00:00:00+00:00,0
4901883.159999999,0.0001559999999999,0.0002700099999999,5162694.9,0.000188076414567,3.726341394500338e-07,8.066617162822906e-05,9.999999999999593e-06,9.999999999999593e-06,99.99114002556736,0.021681661731978,94.81614287930786,0.0217937462989835,5.1749971462595,0.0215250037127882,2024-09-03 01:00:00+00:00,0
5638076.58,0.0001719999999999,0.00024001,8526825.6,0.0001882291577433,3.710946753393678e-07,5.391068207779778e-05,0.0001199999999999,0.0,86.35676707534608,0.0217937462989835,99.99114002556736,0.0218478097242376,-13.634372950221277,0.0216056698844165,2024-09-03 02:00:00+00:00,0
5458675.14,0.0001779999999999,0.0001500099999999,4318177.8,0.0001762208022165,3.7150452056377337e-07,4.005592446742687e-05,6.999999999999715e-05,1.9999999999999185e-05,72.12287114593404,0.0218478097242376,86.35676707534608,0.0218758572931782,-14.233895929412045,0.0216595805664943,2024-09-03 03:00:00+00:00,0
5057953.779999999,0.0001959999999999,0.0001800099999999,2192057.9,0.0001520413443835,3.70056960345021e-07,2.271513453843896e-05,1.9999999999999185e-05,6.000000000000103e-05,62.31251901980959,0.0218758572931782,72.12287114593404,0.0218743929698836,-9.81035212612445,0.0216996364909617,2024-09-03 04:00:00+00:00,0
4358685.220000001,0.0002059999999999,0.00019001,1593669.9,0.0001452566519792,3.7154056702598585e-07,3.568644993331288e-05,3.0000000000002247e-05,5.000000000000143e-05,64.37738846959873,0.0218743929698836,62.31251901980959,0.0219032947274127,2.064869449789136,0.0217223516255001,2024-09-03 05:00:00+00:00,0
