volume_ma_5,volume,atr_5,alt_btc_ratio,ema_14_prev,candle_range,ema_divergence,upper_wick,rsi_7_prev,low,upper_wick_ratio,ema_14_slope,ema_7_prev,volume_slope,ema_7,timestamp,binary_label
1971688.1780000008,3679268.6,0.0454,1.9365696817673348e-05,1.7861536868930152,0.07200001,0.0049468434028934,0.0149999999999999,34.73681650971423,1.763,0.2083333043981506,0.0045128417475979,1.7874844960580083,1371441.5100000002,1.7956133720435066,2024-12-23 16:00:00+00:00,0
2360188.684000001,2697877.38,0.0477999999999999,1.938643330970545e-05,1.7906665286406132,0.0390000099999999,0.0059657042107652,0.0229999999999999,55.71425785715678,1.804,0.5897434385273223,0.0025777961812516,1.7956133720435066,-981391.2200000002,1.79921002903263,2024-12-23 17:00:00+00:00,0
2356228.844000001,1146975.36,0.048,1.9221947734198087e-05,1.7932443248218648,0.03800001,0.0032791069288564,0.006,51.35132706356152,1.779,0.1578946952908696,-0.0013659099762486,1.79921002903263,-1550902.0199999998,1.7951575217744726,2024-12-23 18:00:00+00:00,1
2230770.4360000007,1321903.75,0.0464,1.9517481849333e-05,1.7918784148456162,0.0470000099999999,0.0052735151313205,0.0129999999999999,47.20494842020874,1.782,0.2765956858307034,0.0032162113539178,1.7951575217744726,174928.3899999999,1.8003681413308543,2024-12-23 19:00:00+00:00,1
2217264.234,2240296.08,0.0568,2.035706091686829e-05,1.795094626199534,0.08800001,0.0158440966252113,0.004,52.77775725309441,1.813,0.0454545402892567,0.0135873831733956,1.8003681413308543,918392.33,1.824526105998141,2024-12-23 20:00:00+00:00,1
2290726.904000001,4046581.95,0.0549999999999999,2.043335528145297e-05,1.8086820093729297,0.0630000099999999,0.0248701713754,0.04,73.02902443140366,1.897,0.6349205341395989,0.0148423987502761,1.824526105998141,1806285.87,1.8483945794986056,2024-12-23 21:00:00+00:00,0
1951384.204000001,1001163.88,0.0538,2.048495558599001e-05,1.8235244081232056,0.0330000100000001,0.0334081142505091,0.0030000000000001,74.40942831236222,1.92,0.0909090633608929,0.0168634122502393,1.8483945794986056,-3045418.0700000003,1.8737959346239543,2024-12-23 22:00:00+00:00,0
1893445.5620000004,857282.15,0.054,2.032008989742676e-05,1.8403878203734447,0.0390000099999999,0.0352775066443129,0.0049999999999998,85.54685160828272,1.917,0.1282050953320243,0.0116816239502075,1.8737959346239543,-143881.72999999998,1.8873469509679657,2024-12-23 23:00:00+00:00,0
1821848.358000001,963917.73,0.0508,2.0285515993511173e-05,1.8520694443236527,0.0310000100000001,0.0341500281454751,0.0030000000000001,73.89378242227973,1.9,0.0967741623309186,0.0087907407568463,1.8873469509679657,106635.57999999996,1.8950102132259743,2024-12-24 00:00:00+00:00,0
1580565.946000001,1033884.02,0.043,1.9995021430901955e-05,1.860860185080499,0.0490000099999999,0.0280788328497143,0.008,73.89378242227973,1.877,0.1632652728030059,0.002818641989267,1.8950102132259743,69966.29000000004,1.8917576599194803,2024-12-24 01:00:00+00:00,0
956946.9320000008,928486.88,0.0371999999999999,2.009334679275384e-05,1.8636788270697664,0.0340000099999998,0.0238965948124794,0.01,71.06380861929104,1.864,0.2941175605536605,0.0032428230573646,1.8917576599194803,-105397.14,1.8908182449396105,2024-12-24 02:00:00+00:00,0
880079.4160000008,616826.3,0.0351999999999999,2.018044754170034e-05,1.8669216501271308,0.0230000100000001,0.0222482535945274,0.0070000000000001,67.30766965607268,1.888,0.3043476937618756,0.0049437799830494,1.8908182449396105,-311660.58,1.894113683704708,2024-12-24 03:00:00+00:00,0
