volume_ma_5,volume,atr_5,candle_range,ema_divergence,body_size,alt_btc_ratio,ema_14_prev,rsi_7_prev,volume_slope,body_to_range,rsi_7,ema_14_slope,upper_wick_ratio,upper_wick,timestamp,binary_label
7538651.8,3601533.0,0.0040599999999999,0.00270001,-0.00085918113179,0.0017999999999999,9.251629808527094e-06,0.5879613057494203,37.142671429500126,-4882543.0,0.666664197539968,33.3331565665934,-0.0002481740999226,0.1111106995900289,0.0003,2024-09-25 18:00:00+00:00,0
6485626.4,3859240.0,0.00374,0.0022000099999999,-0.000972584541284,0.0011999999999999,9.257456692227946e-06,0.5877131316494977,33.3331565665934,257707.0,0.5454520661269676,32.35277465483588,-0.000375084219933,0.4090890495952383,0.0009,2024-09-25 19:00:00+00:00,0
5357826.0,2681366.0,0.00304,0.00270001,-0.0007455439394122,0.0024,9.24640245344597e-06,0.5873380474295646,32.35277465483588,-1177874.0,0.8888855967200259,37.83765887593781,-1.840632394189967e-05,0.1111106995899878,0.0002999999999999,2024-09-25 20:00:00+00:00,0
4179175.4,2269662.0,0.00278,0.00200001,-0.0007714494168818,0.0017,9.22948536042835e-06,0.5873196411056227,37.83765887593781,-411704.0,0.8499957500212666,35.44288094926165,-0.0002426188140829,0.1499992500037333,0.0002999999999999,2024-09-25 21:00:00+00:00,0
3224074.8,3708573.0,0.00244,0.00260001,-0.0008209063300076,0.0005,9.247258899064035e-06,0.5870770222915398,35.44288094926165,1438911.0,0.1923069526655847,49.12250538812441,-0.0002769363055387,0.2692297337318015,0.0007,2024-09-25 22:00:00+00:00,0
3196886.6,3465592.0,0.0024399999999999,0.0027000099999999,-0.0010473564458725,0.002,9.23327697724902e-06,0.5868000859860011,49.12250538812441,-242981.0,0.7407379972666981,34.745556594155644,-0.0004933447981334,0.0,0.0,2024-09-25 23:00:00+00:00,0
6927267.6,22511145.0,0.00414,0.01070001,-0.0018246371396555,0.0056999999999999,9.172940429425153e-06,0.5863067411878676,34.745556594155644,19045553.0,0.5327097825142131,27.15219200970587,-0.0011875654917157,0.1401867848721684,0.0015,2024-09-26 00:00:00+00:00,0
9521435.6,15652206.0,0.00452,0.00460001,-0.0018373816859592,0.0037999999999999,9.20120960041954e-06,0.5851191756961519,27.15219200970587,-6858939.0,0.8260851606844061,35.293972318937506,-0.0005358900928202,0.0217390831759276,0.0001000000000001,2024-09-26 01:00:00+00:00,0
9874180.2,4033385.0,0.00448,0.00180001,-0.0016094195848581,0.0013999999999999,9.195948037369077e-06,0.5845832856033316,35.293972318937506,-11618821.0,0.7777734568140946,43.35242574163008,-0.0002644380804441,0.0,0.0,2024-09-26 02:00:00+00:00,0
10883564.6,8755495.0,0.00436,0.00200001,-0.0014659302329804,0.0004,9.164859463233027e-06,0.5843188475228874,43.35242574163008,4722110.0,0.1999990000050333,33.54823558861321,-0.000295846336385,0.4499977500112555,0.0009,2024-09-26 03:00:00+00:00,0
