volume_ma_5,atr_5,volume,ema_divergence,ema_14_slope,candle_range,alt_btc_ratio,ema_14_prev,ema_divergence_slope,rsi_7_prev,rsi_7,volume_slope,lower_wick,body_to_range,ema_7_slope,timestamp,binary_label
2033853.4,0.0034399999999999,1871660.7,-0.0020713616210003,-0.0004117212014161,0.0023000099999999,5.729094439051449e-06,0.3335879090106213,0.0002101124720144,56.204092387849045,47.36813019569183,-1366140.3,0.0011999999999999,0.1739122873378885,-0.0002016087294016,2024-09-02 06:00:00+00:00,0
2493920.34,0.0039199999999999,4031985.0,-0.0024024097934908,-0.0009701583745606,0.00550001,5.663099614773688e-06,0.3331761878092052,-0.0003310481724905,47.36813019569183,23.7408876358178,2160324.3,0.0009,0.8363621157052422,-0.0013012065470512,2024-09-02 07:00:00+00:00,0
3332973.82,0.0047,5349799.5,-0.0020941774458266,-0.0003341372579526,0.00680001,5.678998608412807e-06,0.3322060294346445,0.0003082323476641,23.7408876358178,40.34074864474967,1317814.5,0.0006,0.5588227076136586,-2.5904910288421235e-05,2024-09-02 08:00:00+00:00,0
4593093.24,0.0051,8474220.0,-0.0015323538383174,4.374770977444431e-05,0.00650001,5.688127275700378e-06,0.3318718921766919,0.0005618236075092,40.34074864474967,48.979416910245696,3124420.5,0.0034,0.3999993846163296,0.0006055713172836,2024-09-02 09:00:00+00:00,0
4615422.279999999,0.00492,3349446.2,-0.0009060900321591,0.0002779146818044,0.00350001,5.709547132055158e-06,0.3319156398864664,0.0006262638061582,48.979416910245696,55.88216118866261,-5124773.8,0.0008,0.5142842449021637,0.0009041784879627,2024-09-02 10:00:00+00:00,0
4768800.7,0.00512,2638552.8,-0.0004804822237509,0.0002275260575638,0.0033000099999999,5.715311746377777e-06,0.3321935545682709,0.0004256078084082,55.88216118866261,70.80714555899434,-710893.4000000004,0.0007999999999999,0.0,0.000653133865972,2024-09-02 11:00:00+00:00,0
4574148.7,0.0047399999999999,3058725.0,-0.0003628210741605,-2.8107501113261435e-06,0.0036000099999999,5.692371502933352e-06,0.3324210806258347,0.0001176611495903,70.80714555899434,57.82285390477719,420172.2000000002,0.0010999999999999,0.3888878086449803,0.000114850399479,2024-09-02 12:00:00+00:00,0
3989144.96,0.0041999999999999,2424780.8,-0.0007059139577881,-0.000495769316763,0.0041000099999999,5.649589334840349e-06,0.3324182698757234,-0.0003430928836276,57.82285390477719,44.99982500068049,-633944.2000000002,0.0,0.8780466389106365,-0.0008388622003906,2024-09-02 13:00:00+00:00,0
3741970.68,0.0042199999999999,7238348.6,-0.0003920605335531,0.0001569999254719,0.0066000099999999,5.684591361332492e-06,0.3319225005589603,0.000313853424235,44.99982500068049,70.22444293758386,4813567.8,0.0017999999999999,0.6666656565671898,0.0004708533497069,2024-09-02 14:00:00+00:00,0
3605206.24,0.0039999999999999,2665624.0,-0.0002449871233485,5.6066602075688365e-05,0.0024000099999999,5.680072035271454e-06,0.3320795004844322,0.0001470734102045,70.22444293758386,59.58875539637828,-4572724.6,0.001,0.2083324652813985,0.0002031400122802,2024-09-02 15:00:00+00:00,0
3454682.94,0.0042399999999999,1885936.3,-0.0004562231692706,-0.0003114089448677,0.00450001,5.652583768960493e-06,0.3321355670865079,-0.0002112360459221,59.58875539637828,41.89169375550251,-779687.7,9.9999999999989e-05,0.5999986666696371,-0.0005226449907898,2024-09-02 16:00:00+00:00,0
3149499.96,0.0043199999999999,1532810.1,-0.0001816524934777,0.0001834455811146,0.00400001,5.694362768848008e-06,0.3318241581416402,0.0002745706757929,41.89169375550251,47.56077260645833,-353126.19999999995,9.9999999999989e-05,0.8499978750053153,0.0004580162569076,2024-09-02 17:00:00+00:00,0
3312125.7,0.0042399999999999,3237909.5,-0.0002304598044297,-0.0001076804963673,0.00370001,5.662892715710988e-06,0.3320076037227548,-4.880731095197044e-05,47.56077260645833,42.62278778168615,1705099.4,0.0014,0.5675660336053064,-0.0001564878073193,2024-09-02 18:00:00+00:00,0
2394496.36,0.00338,2650201.9,-0.0002895025630674,-0.0001333230968516,0.00230001,5.662218628031936e-06,0.3318999232263875,-5.904275863777286e-05,42.62278778168615,45.613848364363584,-587707.6000000001,0.0007,0.1304342155033951,-0.0001923658554894,2024-09-02 19:00:00+00:00,0
2302088.5800000005,0.00424,2203585.1,0.0002184363959201,0.0004977866493952,0.00670001,5.687211825332249e-06,0.3317666001295358,0.0005079389589876,45.613848364363584,68.88862098869622,-446616.7999999998,0.0006,0.6865661394535182,0.0010057256083829,2024-09-02 20:00:00+00:00,0
2371705.72,0.00376,2234022.0,0.0006463155060648,0.0005514150961425,0.0021000099999999,5.697156502447202e-06,0.3322643867789311,0.0004278791101446,68.88862098869622,61.37901403234598,30436.899999999907,0.0002,0.4285693877648013,0.0009792942062871,2024-09-02 21:00:00+00:00,0
2442939.8600000003,0.00342,1888980.8,0.0009028930774567,0.0004778930833234,0.00230001,5.668071721663306e-06,0.3328158018750736,0.0002565775713919,61.37901403234598,64.02845453296267,-345041.19999999995,0.0016999999999999,0.0,0.0007344706547153,2024-09-02 22:00:00+00:00,0
2132098.8,0.00302,1683704.2,0.0010162387296128,0.0003875073388804,0.00170001,5.685572293776666e-06,0.3332936949583971,0.0001133456521561,64.02845453296267,78.06969606327009,-205276.6000000001,0.0009,0.0588231833930311,0.0005008529910365,2024-09-02 23:00:00+00:00,0
