volume_ma_5,volume,alt_btc_ratio,candle_range,atr_5,ema_14_prev,ema_divergence,rsi_7_prev,upper_wick,rsi_7,body_size,lower_wick,low,close,ema_7_slope,timestamp,binary_label
8097.74144,6407.0554,0.0424124601303564,12.920000010000074,19.03199999999997,2454.018956943943,-6.147258125465669,78.02133389448488,4.5,64.29447846624942,7.449999999999818,0.9700000000002548,2445.72,2446.69,-0.0681681864284655,2024-09-02 06:00:00+00:00,1
8779.90792,10708.1034,0.0424192052580811,18.15000001000009,18.626000000000023,2453.0417626847507,-5.998982573987178,64.29447846624942,4.630000000000109,50.01574797636058,5.559999999999945,7.960000000000036,2433.18,2441.14,-1.438626139821281,2024-09-02 07:00:00+00:00,1
11821.17176,21161.9915,0.0425246240656221,37.76000001000022,23.22600000000002,2451.454860993451,-2.4744707130598727,50.01574797636058,7.3400000000001455,65.9966684661879,27.67000000000008,2.75,2438.39,2468.81,5.8385303951340575,2024-09-02 08:00:00+00:00,0
15939.433980000002,29679.1703,0.0430837115287312,58.71000001000004,31.692000000000007,2453.7688795276576,5.426611020311611,65.9966684661879,4.2199999999998,79.16543132566275,47.38999999999987,7.100000000000364,2461.7,2516.19,16.223897796350684,2024-09-02 09:00:00+00:00,0
18778.96676,25938.5132,0.0431599027052142,29.46000001000004,31.40000000000009,2462.091695590637,11.3847604463258,79.16543132566275,14.740000000000236,78.45811935403421,8.599999999999909,6.119999999999891,2510.07,2524.79,14.317923347262877,2024-09-02 10:00:00+00:00,0
19320.35676,9114.0054,0.0430627087291245,13.50000001,31.51600000000008,2470.451469511885,13.830398891690947,78.45811935403421,3.1899999999996,82.33212701436858,8.970000000000255,1.3400000000001455,2514.47,2515.81,8.49344251044704,2024-09-02 11:00:00+00:00,0
18957.29114,8892.7753,0.0431686918197333,14.080000009999928,30.702000000000044,2476.4992735769674,15.540050584788332,82.33212701436858,3.880000000000109,80.13562381908217,4.980000000000018,5.2199999999998,2510.59,2520.79,7.615081882835057,2024-09-02 12:00:00+00:00,0
16830.05938,10525.8327,0.0430587395726662,18.790000009999964,26.908,2482.404703766705,14.31565583247584,80.13562381908217,2.400000000000091,74.64207507811224,15.579999999999927,0.8099999999999454,2504.4,2505.21,1.816311412126652,2024-09-02 13:00:00+00:00,0
13680.54828,13931.6148,0.0429989589910746,35.45000000999982,22.25599999999995,2485.445409931144,14.722610715723931,74.64207507811224,8.389999999999873,80.75084249821654,14.400000000000093,12.659999999999854,2492.55,2519.61,4.962233559095239,2024-09-02 14:00:00+00:00,0
10151.48584,8293.201,0.042932803124945,13.040000009999964,18.97199999999993,2490.0006886069914,13.748544365977525,80.75084249821654,6.190000000000055,70.87369505350162,6.400000000000091,0.4499999999998181,2512.75,2513.2,2.119175169321352,2024-09-02 15:00:00+00:00,0
